Position,Percentage,Method
1,0.418923626,DFCM1 Full
2,0.015598784,DFCM1 Full
3,0.797450037,DFCM1 Full
4,0.797450037,DFCM1 Full
5,0.797450037,DFCM1 Full
6,0.797450037,DFCM1 Full
7,0.797449575,DFCM1 Full
8,0.791098594,DFCM1 Full
9,0.665594817,DFCM1 Full
10,0.390474693,DFCM1 Full
11,0.430892571,DFCM1 Full
12,0.421872834,DFCM1 Full
13,0.353043902,DFCM1 Full
14,0.390587,DFCM1 Full
15,0.414248147,DFCM1 Full
16,0.4223448,DFCM1 Full
17,0.423960966,DFCM1 Full
18,0.428711365,DFCM1 Full
19,0.429974179,DFCM1 Full
20,0.429626029,DFCM1 Full
21,0.42789719,DFCM1 Full
22,0.429280568,DFCM1 Full
23,0.429330235,DFCM1 Full
24,0.428411836,DFCM1 Full
25,0.429025153,DFCM1 Full
26,0.430826451,DFCM1 Full
27,0.433954347,DFCM1 Full
28,0.430716727,DFCM1 Full
29,0.432935297,DFCM1 Full
30,0.433771123,DFCM1 Full
31,0.434589405,DFCM1 Full
32,0.433737647,DFCM1 Full
33,0.435770056,DFCM1 Full
34,0.434924116,DFCM1 Full
35,0.434920654,DFCM1 Full
36,0.437344446,DFCM1 Full
37,0.437897811,DFCM1 Full
38,0.434870928,DFCM1 Full
39,0.436311855,DFCM1 Full
40,0.435648414,DFCM1 Full
41,0.434556806,DFCM1 Full
42,0.435949383,DFCM1 Full
43,0.435329381,DFCM1 Full
44,0.436754195,DFCM1 Full
45,0.437023276,DFCM1 Full
46,0.438552722,DFCM1 Full
47,0.435596757,DFCM1 Full
48,0.43505911,DFCM1 Full
49,0.434307556,DFCM1 Full
50,0.432659748,DFCM1 Full
51,0.428556981,DFCM1 Full
52,0.422385132,DFCM1 Full
53,0.41758986,DFCM1 Full
54,0.41302108,DFCM1 Full
55,0.40954295,DFCM1 Full
56,0.397929766,DFCM1 Full
57,0.380693031,DFCM1 Full
58,0.355217457,DFCM1 Full
59,0.32074759,DFCM1 Full
60,0.275679018,DFCM1 Full
61,0.228037478,DFCM1 Full
62,0.1814183,DFCM1 Full
63,0.139102026,DFCM1 Full
64,0.083699496,DFCM1 Full
