Position,Percentage,Method
1,0.287092651,DFCM1 Gorilla
2,0.023611609,DFCM1 Gorilla
3,0.132465404,DFCM1 Gorilla
4,0.132465404,DFCM1 Gorilla
5,0.132465404,DFCM1 Gorilla
6,0.132465404,DFCM1 Gorilla
7,0.132465837,DFCM1 Gorilla
8,0.14286945,DFCM1 Gorilla
9,0.176656456,DFCM1 Gorilla
10,0.244257538,DFCM1 Gorilla
11,0.330793025,DFCM1 Gorilla
12,0.369276601,DFCM1 Gorilla
13,0.366324162,DFCM1 Gorilla
14,0.387866443,DFCM1 Gorilla
15,0.404289562,DFCM1 Gorilla
16,0.411553463,DFCM1 Gorilla
17,0.412440574,DFCM1 Gorilla
18,0.414571439,DFCM1 Gorilla
19,0.416421581,DFCM1 Gorilla
20,0.416645709,DFCM1 Gorilla
21,0.417937997,DFCM1 Gorilla
22,0.4192265,DFCM1 Gorilla
23,0.420249239,DFCM1 Gorilla
24,0.420737729,DFCM1 Gorilla
25,0.421740059,DFCM1 Gorilla
26,0.422812231,DFCM1 Gorilla
27,0.423674253,DFCM1 Gorilla
28,0.423264894,DFCM1 Gorilla
29,0.42601402,DFCM1 Gorilla
30,0.428367626,DFCM1 Gorilla
31,0.429416944,DFCM1 Gorilla
32,0.43140728,DFCM1 Gorilla
33,0.434197148,DFCM1 Gorilla
34,0.435507959,DFCM1 Gorilla
35,0.437567397,DFCM1 Gorilla
36,0.43959594,DFCM1 Gorilla
37,0.441883712,DFCM1 Gorilla
38,0.441688988,DFCM1 Gorilla
39,0.442964368,DFCM1 Gorilla
40,0.442254036,DFCM1 Gorilla
41,0.441918962,DFCM1 Gorilla
42,0.441956476,DFCM1 Gorilla
43,0.442448871,DFCM1 Gorilla
44,0.443038078,DFCM1 Gorilla
45,0.443949135,DFCM1 Gorilla
46,0.445617728,DFCM1 Gorilla
47,0.443932065,DFCM1 Gorilla
48,0.444109846,DFCM1 Gorilla
49,0.443123953,DFCM1 Gorilla
50,0.441971365,DFCM1 Gorilla
51,0.43833314,DFCM1 Gorilla
52,0.432812746,DFCM1 Gorilla
53,0.428269467,DFCM1 Gorilla
54,0.426055854,DFCM1 Gorilla
55,0.423860796,DFCM1 Gorilla
56,0.415634246,DFCM1 Gorilla
57,0.40080737,DFCM1 Gorilla
58,0.377274754,DFCM1 Gorilla
59,0.345320923,DFCM1 Gorilla
60,0.302796834,DFCM1 Gorilla
61,0.258315121,DFCM1 Gorilla
62,0.214791712,DFCM1 Gorilla
63,0.174214689,DFCM1 Gorilla
64,0.122108649,DFCM1 Gorilla
