Position,Percentage,Method
1,0.105272577,DFCM3 Xored
2,0.021611372,DFCM3 Xored
3,0.142393021,DFCM3 Xored
4,0.142393021,DFCM3 Xored
5,0.142393021,DFCM3 Xored
6,0.142393021,DFCM3 Xored
7,0.142393021,DFCM3 Xored
8,0.142278456,DFCM3 Xored
9,0.114353236,DFCM3 Xored
10,0.10818136,DFCM3 Xored
11,0.121005109,DFCM3 Xored
12,0.139301832,DFCM3 Xored
13,0.127358697,DFCM3 Xored
14,0.130844794,DFCM3 Xored
15,0.15749783,DFCM3 Xored
16,0.175214238,DFCM3 Xored
17,0.170999901,DFCM3 Xored
18,0.173730814,DFCM3 Xored
19,0.170796388,DFCM3 Xored
20,0.179913136,DFCM3 Xored
21,0.17161107,DFCM3 Xored
22,0.172612528,DFCM3 Xored
23,0.177779342,DFCM3 Xored
24,0.177995083,DFCM3 Xored
25,0.179425044,DFCM3 Xored
26,0.18395614,DFCM3 Xored
27,0.182465912,DFCM3 Xored
28,0.171069306,DFCM3 Xored
29,0.182278747,DFCM3 Xored
30,0.179864444,DFCM3 Xored
31,0.180739357,DFCM3 Xored
32,0.182020391,DFCM3 Xored
33,0.18944723,DFCM3 Xored
34,0.184460142,DFCM3 Xored
35,0.187565392,DFCM3 Xored
36,0.193721455,DFCM3 Xored
37,0.195735939,DFCM3 Xored
38,0.17854375,DFCM3 Xored
39,0.182197647,DFCM3 Xored
40,0.187238382,DFCM3 Xored
41,0.188591014,DFCM3 Xored
42,0.192228457,DFCM3 Xored
43,0.190050555,DFCM3 Xored
44,0.188384692,DFCM3 Xored
45,0.195192657,DFCM3 Xored
46,0.190311322,DFCM3 Xored
47,0.182836742,DFCM3 Xored
48,0.185672278,DFCM3 Xored
49,0.186058774,DFCM3 Xored
50,0.189894191,DFCM3 Xored
51,0.187495341,DFCM3 Xored
52,0.185859862,DFCM3 Xored
53,0.177886447,DFCM3 Xored
54,0.181000744,DFCM3 Xored
55,0.178586201,DFCM3 Xored
56,0.160181419,DFCM3 Xored
57,0.133516019,DFCM3 Xored
58,0.111006017,DFCM3 Xored
59,0.089009519,DFCM3 Xored
60,0.071790193,DFCM3 Xored
61,0.060036333,DFCM3 Xored
62,0.050762395,DFCM3 Xored
63,0.044010354,DFCM3 Xored
64,0.031043408,DFCM3 Xored
