Position,Percentage,Method
1,0.272539266,Diff Gorilla
2,0.02069381,Diff Gorilla
3,0.062751434,Diff Gorilla
4,0.062751434,Diff Gorilla
5,0.062751434,Diff Gorilla
6,0.062751434,Diff Gorilla
7,0.062753233,Diff Gorilla
8,0.073468287,Diff Gorilla
9,0.133415598,Diff Gorilla
10,0.216708145,Diff Gorilla
11,0.303430957,Diff Gorilla
12,0.346684026,Diff Gorilla
13,0.347750067,Diff Gorilla
14,0.369586934,Diff Gorilla
15,0.386778784,Diff Gorilla
16,0.394470248,Diff Gorilla
17,0.39590196,Diff Gorilla
18,0.398109615,Diff Gorilla
19,0.398690368,Diff Gorilla
20,0.400454728,Diff Gorilla
21,0.401331456,Diff Gorilla
22,0.402540177,Diff Gorilla
23,0.404049826,Diff Gorilla
24,0.404738719,Diff Gorilla
25,0.405951096,Diff Gorilla
26,0.407678641,Diff Gorilla
27,0.408293094,Diff Gorilla
28,0.40802142,Diff Gorilla
29,0.411735886,Diff Gorilla
30,0.414737126,Diff Gorilla
31,0.416065788,Diff Gorilla
32,0.418990311,Diff Gorilla
33,0.422246551,Diff Gorilla
34,0.423660496,Diff Gorilla
35,0.425798528,Diff Gorilla
36,0.428366641,Diff Gorilla
37,0.430746482,Diff Gorilla
38,0.429883224,Diff Gorilla
39,0.43065329,Diff Gorilla
40,0.429854529,Diff Gorilla
41,0.429425154,Diff Gorilla
42,0.429659427,Diff Gorilla
43,0.43046844,Diff Gorilla
44,0.430258672,Diff Gorilla
45,0.432641764,Diff Gorilla
46,0.434147893,Diff Gorilla
47,0.432412097,Diff Gorilla
48,0.432913252,Diff Gorilla
49,0.431491774,Diff Gorilla
50,0.430224367,Diff Gorilla
51,0.426235627,Diff Gorilla
52,0.420783679,Diff Gorilla
53,0.416200113,Diff Gorilla
54,0.414660283,Diff Gorilla
55,0.412832267,Diff Gorilla
56,0.404591539,Diff Gorilla
57,0.389797746,Diff Gorilla
58,0.366958843,Diff Gorilla
59,0.336394153,Diff Gorilla
60,0.295160754,Diff Gorilla
61,0.251545748,Diff Gorilla
62,0.208737098,Diff Gorilla
63,0.169031307,Diff Gorilla
64,0.118245369,Diff Gorilla
