Position,Percentage,Method
1,0.43511957,Differences
2,0.015795237,Differences
3,0.862440178,Differences
4,0.862440178,Differences
5,0.862440178,Differences
6,0.862440178,Differences
7,0.862438826,Differences
8,0.855878937,Differences
9,0.700842419,Differences
10,0.41205964,Differences
11,0.448995074,Differences
12,0.434641418,Differences
13,0.35899987,Differences
14,0.398692089,Differences
15,0.424487529,Differences
16,0.431021302,Differences
17,0.432070226,Differences
18,0.438284885,Differences
19,0.440612685,Differences
20,0.439224808,Differences
21,0.435070727,Differences
22,0.438515527,Differences
23,0.437197924,Differences
24,0.4358121,Differences
25,0.435436953,Differences
26,0.437866265,Differences
27,0.443421059,Differences
28,0.43739346,Differences
29,0.440056043,Differences
30,0.438908275,Differences
31,0.439465092,Differences
32,0.436650663,Differences
33,0.439454593,Differences
34,0.437680377,Differences
35,0.437501766,Differences
36,0.44039495,Differences
37,0.441496069,Differences
38,0.437633898,Differences
39,0.439428945,Differences
40,0.439434904,Differences
41,0.436853148,Differences
42,0.439566886,Differences
43,0.437704882,Differences
44,0.441460584,Differences
45,0.440062843,Differences
46,0.44269792,Differences
47,0.439104278,Differences
48,0.437914416,Differences
49,0.43695358,Differences
50,0.435006839,Differences
51,0.431048245,Differences
52,0.424926755,Differences
53,0.419792706,Differences
54,0.415124269,Differences
55,0.410752446,Differences
56,0.398105224,Differences
57,0.381032962,Differences
58,0.355146964,Differences
59,0.320490126,Differences
60,0.275145934,Differences
61,0.22747444,Differences
62,0.181682938,Differences
63,0.13860888,Differences
64,0.083419219,Differences
