Position,Percentage,Method
1,0.116435902,FCM1 Gorilla
2,0.021075509,FCM1 Gorilla
3,0.081468084,FCM1 Gorilla
4,0.081468084,FCM1 Gorilla
5,0.081468084,FCM1 Gorilla
6,0.081468084,FCM1 Gorilla
7,0.081473166,FCM1 Gorilla
8,0.081545128,FCM1 Gorilla
9,0.088891844,FCM1 Gorilla
10,0.139519675,FCM1 Gorilla
11,0.190581337,FCM1 Gorilla
12,0.238196736,FCM1 Gorilla
13,0.27689488,FCM1 Gorilla
14,0.323207575,FCM1 Gorilla
15,0.365029901,FCM1 Gorilla
16,0.397493621,FCM1 Gorilla
17,0.416217516,FCM1 Gorilla
18,0.425110655,FCM1 Gorilla
19,0.431114674,FCM1 Gorilla
20,0.432712099,FCM1 Gorilla
21,0.434108377,FCM1 Gorilla
22,0.43855955,FCM1 Gorilla
23,0.443986035,FCM1 Gorilla
24,0.449228783,FCM1 Gorilla
25,0.449113381,FCM1 Gorilla
26,0.447682865,FCM1 Gorilla
27,0.448384392,FCM1 Gorilla
28,0.449253856,FCM1 Gorilla
29,0.449541721,FCM1 Gorilla
30,0.44773638,FCM1 Gorilla
31,0.449419098,FCM1 Gorilla
32,0.448378349,FCM1 Gorilla
33,0.448920261,FCM1 Gorilla
34,0.449330269,FCM1 Gorilla
35,0.44803815,FCM1 Gorilla
36,0.449605562,FCM1 Gorilla
37,0.449986645,FCM1 Gorilla
38,0.448425692,FCM1 Gorilla
39,0.450037734,FCM1 Gorilla
40,0.44860829,FCM1 Gorilla
41,0.448026426,FCM1 Gorilla
42,0.449706132,FCM1 Gorilla
43,0.448571714,FCM1 Gorilla
44,0.447769623,FCM1 Gorilla
45,0.447681278,FCM1 Gorilla
46,0.449731368,FCM1 Gorilla
47,0.450148037,FCM1 Gorilla
48,0.448743901,FCM1 Gorilla
49,0.448132577,FCM1 Gorilla
50,0.448562265,FCM1 Gorilla
51,0.449465505,FCM1 Gorilla
52,0.449097715,FCM1 Gorilla
53,0.447781028,FCM1 Gorilla
54,0.448455437,FCM1 Gorilla
55,0.449622636,FCM1 Gorilla
56,0.4483859,FCM1 Gorilla
57,0.44937968,FCM1 Gorilla
58,0.449854843,FCM1 Gorilla
59,0.449767029,FCM1 Gorilla
60,0.447744858,FCM1 Gorilla
61,0.448626939,FCM1 Gorilla
62,0.447966647,FCM1 Gorilla
63,0.450173851,FCM1 Gorilla
64,0.449534977,FCM1 Gorilla
