Position,Percentage,Method
1,0.083497149,FCM1 Xored
2,0.010211753,FCM1 Xored
3,0.010219707,FCM1 Xored
4,0.010219707,FCM1 Xored
5,0.010219707,FCM1 Xored
6,0.010219707,FCM1 Xored
7,0.010234403,FCM1 Xored
8,0.010368773,FCM1 Xored
9,0.015714262,FCM1 Xored
10,0.058878406,FCM1 Xored
11,0.118213972,FCM1 Xored
12,0.160693457,FCM1 Xored
13,0.180219413,FCM1 Xored
14,0.205782756,FCM1 Xored
15,0.229224766,FCM1 Xored
16,0.252494582,FCM1 Xored
17,0.273401005,FCM1 Xored
18,0.287370725,FCM1 Xored
19,0.295040181,FCM1 Xored
20,0.299336637,FCM1 Xored
21,0.305732121,FCM1 Xored
22,0.310011209,FCM1 Xored
23,0.318697724,FCM1 Xored
24,0.32781274,FCM1 Xored
25,0.327375725,FCM1 Xored
26,0.327723567,FCM1 Xored
27,0.327462972,FCM1 Xored
28,0.327258036,FCM1 Xored
29,0.327776874,FCM1 Xored
30,0.327307429,FCM1 Xored
31,0.328231005,FCM1 Xored
32,0.329011683,FCM1 Xored
33,0.326735656,FCM1 Xored
34,0.327736673,FCM1 Xored
35,0.327186534,FCM1 Xored
36,0.328305551,FCM1 Xored
37,0.326651045,FCM1 Xored
38,0.326607346,FCM1 Xored
39,0.327473708,FCM1 Xored
40,0.326207917,FCM1 Xored
41,0.327357991,FCM1 Xored
42,0.327242215,FCM1 Xored
43,0.326541302,FCM1 Xored
44,0.326963377,FCM1 Xored
45,0.32647542,FCM1 Xored
46,0.328721127,FCM1 Xored
47,0.328268731,FCM1 Xored
48,0.32781255,FCM1 Xored
49,0.327369199,FCM1 Xored
50,0.326390414,FCM1 Xored
51,0.327479074,FCM1 Xored
52,0.326897889,FCM1 Xored
53,0.323928959,FCM1 Xored
54,0.326157962,FCM1 Xored
55,0.327280417,FCM1 Xored
56,0.327476701,FCM1 Xored
57,0.329177416,FCM1 Xored
58,0.329109289,FCM1 Xored
59,0.328667539,FCM1 Xored
60,0.325862822,FCM1 Xored
61,0.326368278,FCM1 Xored
62,0.325244984,FCM1 Xored
63,0.327113745,FCM1 Xored
64,0.32777381,FCM1 Xored
