Position,Percentage,Method
1,0.460796949,FCM3 Full
2,0.032342236,FCM3 Full
3,0.857392863,FCM3 Full
4,0.857392863,FCM3 Full
5,0.857392863,FCM3 Full
6,0.857392863,FCM3 Full
7,0.857388861,FCM3 Full
8,0.857348942,FCM3 Full
9,0.852577821,FCM3 Full
10,0.784693017,FCM3 Full
11,0.599364262,FCM3 Full
12,0.463714769,FCM3 Full
13,0.377705908,FCM3 Full
14,0.410803178,FCM3 Full
15,0.431073677,FCM3 Full
16,0.442567525,FCM3 Full
17,0.448272899,FCM3 Full
18,0.451463722,FCM3 Full
19,0.45218926,FCM3 Full
20,0.452799392,FCM3 Full
21,0.452457251,FCM3 Full
22,0.453098167,FCM3 Full
23,0.453562426,FCM3 Full
24,0.453543232,FCM3 Full
25,0.453498823,FCM3 Full
26,0.453153559,FCM3 Full
27,0.453745406,FCM3 Full
28,0.453489423,FCM3 Full
29,0.45344436,FCM3 Full
30,0.453443272,FCM3 Full
31,0.452881867,FCM3 Full
32,0.453312762,FCM3 Full
33,0.453524675,FCM3 Full
34,0.453225368,FCM3 Full
35,0.453805396,FCM3 Full
36,0.453109001,FCM3 Full
37,0.453556455,FCM3 Full
38,0.453101723,FCM3 Full
39,0.453398537,FCM3 Full
40,0.45348039,FCM3 Full
41,0.453336563,FCM3 Full
42,0.453614561,FCM3 Full
43,0.453535547,FCM3 Full
44,0.453295723,FCM3 Full
45,0.453298627,FCM3 Full
46,0.453430477,FCM3 Full
47,0.45348342,FCM3 Full
48,0.45328216,FCM3 Full
49,0.453241753,FCM3 Full
50,0.453061937,FCM3 Full
51,0.453374022,FCM3 Full
52,0.453300221,FCM3 Full
53,0.453164587,FCM3 Full
54,0.45358156,FCM3 Full
55,0.45341535,FCM3 Full
56,0.453160781,FCM3 Full
57,0.453385513,FCM3 Full
58,0.453504164,FCM3 Full
59,0.453301567,FCM3 Full
60,0.453458366,FCM3 Full
61,0.453028663,FCM3 Full
62,0.453528884,FCM3 Full
63,0.453415362,FCM3 Full
64,0.453427573,FCM3 Full
