Position,Percentage,Method
1,0.090832195,Gorilla
2,0.018213736,Gorilla
3,0.024212733,Gorilla
4,0.024212733,Gorilla
5,0.024212733,Gorilla
6,0.024212733,Gorilla
7,0.024220553,Gorilla
8,0.024310215,Gorilla
9,0.03266892,Gorilla
10,0.092029821,Gorilla
11,0.158626077,Gorilla
12,0.217374355,Gorilla
13,0.261363632,Gorilla
14,0.309816679,Gorilla
15,0.352300394,Gorilla
16,0.385336921,Gorilla
17,0.404199462,Gorilla
18,0.414048004,Gorilla
19,0.420368499,Gorilla
20,0.422203469,Gorilla
21,0.424373087,Gorilla
22,0.428938252,Gorilla
23,0.434234484,Gorilla
24,0.438703683,Gorilla
25,0.438747201,Gorilla
26,0.438411687,Gorilla
27,0.438548667,Gorilla
28,0.438912023,Gorilla
29,0.439276619,Gorilla
30,0.438101371,Gorilla
31,0.439147261,Gorilla
32,0.438583123,Gorilla
33,0.438669849,Gorilla
34,0.439123985,Gorilla
35,0.438923034,Gorilla
36,0.439039187,Gorilla
37,0.4394372,Gorilla
38,0.438340095,Gorilla
39,0.439894341,Gorilla
40,0.438787377,Gorilla
41,0.438625185,Gorilla
42,0.439490599,Gorilla
43,0.438915494,Gorilla
44,0.438324758,Gorilla
45,0.438434246,Gorilla
46,0.43924774,Gorilla
47,0.439732897,Gorilla
48,0.438861853,Gorilla
49,0.438610367,Gorilla
50,0.438879066,Gorilla
51,0.439155331,Gorilla
52,0.438641219,Gorilla
53,0.438125921,Gorilla
54,0.438879628,Gorilla
55,0.438925393,Gorilla
56,0.43843377,Gorilla
57,0.438822114,Gorilla
58,0.439722057,Gorilla
59,0.43908327,Gorilla
60,0.437986841,Gorilla
61,0.438312946,Gorilla
62,0.438524743,Gorilla
63,0.440055056,Gorilla
64,0.439186588,Gorilla
