Position,Percentage,Method
1,0.531917914,Raw
2,0.032254328,Raw
3,0.967657272,Raw
4,0.967657272,Raw
5,0.967657272,Raw
6,0.967657272,Raw
7,0.967651599,Raw
8,0.967586801,Raw
9,0.962491337,Raw
10,0.885837869,Raw
11,0.666151428,Raw
12,0.5192723,Raw
13,0.418035948,Raw
14,0.449360902,Raw
15,0.477882099,Raw
16,0.487771234,Raw
17,0.495261397,Raw
18,0.498043512,Raw
19,0.49948939,Raw
20,0.49863444,Raw
21,0.497434529,Raw
22,0.498501332,Raw
23,0.498639834,Raw
24,0.499079884,Raw
25,0.500825331,Raw
26,0.499251365,Raw
27,0.502702452,Raw
28,0.50143958,Raw
29,0.50072104,Raw
30,0.501688867,Raw
31,0.497944034,Raw
32,0.499225868,Raw
33,0.500691622,Raw
34,0.499163585,Raw
35,0.500754551,Raw
36,0.499931763,Raw
37,0.500240045,Raw
38,0.49976055,Raw
39,0.499296685,Raw
40,0.501000154,Raw
41,0.499434218,Raw
42,0.500127221,Raw
43,0.501361089,Raw
44,0.501135671,Raw
45,0.498144849,Raw
46,0.49964268,Raw
47,0.501417133,Raw
48,0.500075683,Raw
49,0.499216551,Raw
50,0.499092121,Raw
51,0.499621917,Raw
52,0.499113307,Raw
53,0.50061261,Raw
54,0.50179841,Raw
55,0.499218401,Raw
56,0.498765983,Raw
57,0.499008678,Raw
58,0.499790535,Raw
59,0.4994924,Raw
60,0.498452909,Raw
61,0.497640937,Raw
62,0.501628107,Raw
63,0.500676733,Raw
64,0.499025176,Raw
