Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
appended,Haptics,19256.81681,0,1.000020813,0.71,0.59,0.69,0.422300083,0.71,0.58
appended,SyntheticControl,5976.736753,0,1,0.7,0.62,0.68,0.438500101,0.7,0.66
appended,Worms,51996.07121,0,1.04911059,0.68,0.6,0.7,0.321681245,0.68,0.6
appended,Computers,3148882.174,0,3.180287017,0.21,0.25,0.64,0.017440317,0.21,0.26
appended,HouseTwenty,386218.3496,0,1.396806113,0.47,0.5,0.64,0.190767716,0.47,0.54
appended,GestureMidAirD3,6797.647906,0,1,0.68,0.56,0.66,0.431928559,0.68,0.55
appended,Chinatown,7532.117017,0,1.005220981,0.69,0.6,0.67,0.438014945,0.69,0.62
appended,UWaveGestureLibraryAll,134005.4106,0,1.393938633,0.51,0.46,0.69,0.316804105,0.51,0.45
appended,Strawberry,11691.77614,0,1.006668828,0.68,0.58,0.67,0.419565182,0.68,0.58
appended,Car,3438.430301,0,1.0017652,0.72,0.6,0.7,0.42680689,0.72,0.57
appended,GunPointAgeSpan,45465.71796,0,1.002283733,0.67,0.55,0.66,0.4207133,0.67,0.54
appended,GestureMidAirD2,7453.532134,0,1.000021368,0.68,0.56,0.66,0.432086194,0.68,0.56
appended,BeetleFly,45453.31082,0,1.000586338,0.71,0.62,0.69,0.42638081,0.71,0.61
appended,Wafer,223621.4958,0,1.982396005,0.36,0.37,0.68,0.179526418,0.36,0.41
appended,CBF,284054.3052,0,1,0.7,0.62,0.68,0.432568054,0.7,0.65
appended,Adiac,18266.26716,0,1.000043597,0.71,0.61,0.69,0.428250671,0.71,0.59
appended,ItalyPowerDemand,6525.220103,0,1.041192343,0.67,0.61,0.68,0.410327132,0.67,0.64
appended,Yoga,92048.60881,0,1.001066866,0.71,0.6,0.69,0.427988355,0.71,0.58
appended,AllGestureWiimoteY,36830.92794,0,1.001811853,0.67,0.56,0.65,0.427001033,0.67,0.55
appended,Trace,2466.106454,0,1,0.73,0.61,0.71,0.419020898,0.73,0.62
appended,PigAirwayPressure,5455513.307,0,1.031129784,0.65,0.54,0.65,0.3100699,0.65,0.55
appended,ShapesAll,40103.68249,0,1.018118728,0.7,0.6,0.69,0.407005112,0.7,0.59
appended,Beef,721.5666333,0,1.000141874,0.7,0.59,0.68,0.428975552,0.7,0.59
appended,GesturePebbleZ2,19717.92295,0,1,0.67,0.56,0.65,0.432234913,0.67,0.56
appended,Mallat,614752.1248,0,1,0.72,0.59,0.7,0.419387168,0.72,0.56
appended,GunPointOldVersusYoung,26037.29369,0,1.002035926,0.67,0.55,0.66,0.421025357,0.67,0.54
appended,MiddlePhalanxTW,17424.61382,0,1.115649339,0.63,0.55,0.68,0.394426871,0.63,0.56
appended,AllGestureWiimoteX,58309.39677,0,1.000631829,0.67,0.57,0.65,0.43289881,0.67,0.56
appended,Meat,1609.398541,0,1.000186053,0.69,0.57,0.67,0.407606919,0.69,0.56
appended,Herring,106183.2137,0,1.000305278,0.72,0.6,0.69,0.426180145,0.72,0.58
appended,MiddlePhalanxOutlineCorrect,41844.83862,0,1.019176043,0.69,0.6,0.68,0.422252724,0.69,0.6
appended,InsectEPGRegularTrain,20852.59799,0,1.215434972,0.56,0.56,0.66,0.176216751,0.56,0.58
appended,FordA,424350.2325,0,1.002157679,0.71,0.62,0.69,0.421476853,0.71,0.64
appended,SwedishLeaf,50876.29293,0,1.000975964,0.69,0.61,0.67,0.413037891,0.69,0.61
appended,InlineSkate,22516.49889,0,1.00464324,0.71,0.59,0.69,0.408448768,0.71,0.59
appended,DodgerLoopDay,59784.82029,0,1.08286332,0.63,0.6,0.66,0.201358592,0.63,0.63
appended,UMD,9881.903989,0,1.043833366,0.65,0.56,0.66,0.382439696,0.65,0.57
appended,CricketY,68491.27604,0,1,0.7,0.61,0.68,0.431034144,0.7,0.62
appended,WormsTwoClass,51996.07121,0,1.04911059,0.68,0.6,0.7,0.321691287,0.68,0.6
appended,SmoothSubspace,1941.812707,0,1,0.68,0.61,0.66,0.464783055,0.68,0.65
appended,OSULeaf,33975.92382,0,1.000067747,0.71,0.61,0.69,0.431264976,0.71,0.6
appended,Ham,39466.9107,0,1.026656685,0.67,0.59,0.67,0.373052315,0.67,0.59
appended,CricketX,38619.10914,0,1,0.7,0.6,0.68,0.4283707,0.7,0.62
appended,SonyAIBORobotSurface1,44418.04261,0,1.320867872,0.52,0.58,0.67,0.212670319,0.52,0.62
appended,ToeSegmentation1,10086.3669,0,1.000015834,0.7,0.6,0.67,0.428424492,0.7,0.61
appended,ScreenType,67828.5252,0,5.214906688,0.14,0.16,0.64,0.016124374,0.14,0.19
appended,PigArtPressure,26946.61165,0,1.003798033,0.68,0.57,0.66,0.410279568,0.68,0.57
appended,SmallKitchenAppliances,6.29E+08,0,7.512178149,0.09,0.1,0.59,0.013302461,0.09,0.11
appended,Crop,160516.8301,1.68E-05,1.008277068,0.67,0.6,0.66,0.406764479,0.67,0.62
appended,MoteStrain,31451.39017,0,1.015301886,0.68,0.59,0.67,0.424318117,0.68,0.6
