File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
synthetic-control_TEST.csv,1.89,1.55,0.7,FCMGorilla
synthetic-control_TRAIN.csv,4.46,5.47,0.7,FCMGorilla
chess-krvkp_TRAIN.csv,11.76,15.76,0.37,FCMGorilla
chess-krvkp_TEST.csv,7.54,15.33,0.37,FCMGorilla
balance-scale_TRAIN.csv,5.3,7.5,0.89,FCMGorilla
balance-scale_TEST.csv,5.47,6.83,0.86,FCMGorilla
statlog-german-credit_TEST.csv,10.33,13.41,0.48,FCMGorilla
statlog-german-credit_TRAIN.csv,10.45,7.17,0.48,FCMGorilla
acute-nephritis_TEST.csv,8.62,19.4,0.52,FCMGorilla
acute-nephritis_TRAIN.csv,5.34,20.07,0.33,FCMGorilla
pittsburg-bridges-MATERIAL_TRAIN.csv,7.38,10.7,0.63,FCMGorilla
pittsburg-bridges-MATERIAL_TEST.csv,5.78,9.6,0.65,FCMGorilla
musk-1_TRAIN.csv,9.01,13.52,0.69,FCMGorilla
musk-1_TEST.csv,8.73,15.97,0.69,FCMGorilla
cylinder-bands_TEST.csv,9.75,11.23,0.51,FCMGorilla
cylinder-bands_TRAIN.csv,13.48,11.68,0.51,FCMGorilla
low-res-spect_TEST.csv,10.97,12.89,0.68,FCMGorilla
low-res-spect_TRAIN.csv,10.72,15.61,0.68,FCMGorilla
balloons_TRAIN.csv,6.5,7.98,0.25,FCMGorilla
balloons_TEST.csv,3.54,8.45,0.2,FCMGorilla
oocytesTrisopterusNucleus2f_TEST.csv,9.19,10.47,0.69,FCMGorilla
oocytesTrisopterusNucleus2f_TRAIN.csv,13.91,13.33,0.69,FCMGorilla
ionosphere_TEST.csv,8.25,9.78,0.69,FCMGorilla
ionosphere_TRAIN.csv,12.81,14.22,0.68,FCMGorilla
breast-cancer-wisc-diag_TRAIN.csv,12.0,11.81,0.56,FCMGorilla
breast-cancer-wisc-diag_TEST.csv,9.82,11.83,0.57,FCMGorilla
pima_TRAIN.csv,8.61,10.8,0.66,FCMGorilla
pima_TEST.csv,6.82,19.48,0.67,FCMGorilla
tic-tac-toe_TEST.csv,3.97,8.49,0.85,FCMGorilla
tic-tac-toe_TRAIN.csv,9.66,8.2,0.85,FCMGorilla
pendigits_TRAIN.csv,10.48,13.92,0.7,FCMGorilla
pendigits_TEST.csv,10.14,12.45,0.7,FCMGorilla
conn-bench-sonar-mines-rocks_TRAIN.csv,10.01,8.33,0.69,FCMGorilla
conn-bench-sonar-mines-rocks_TEST.csv,7.91,15.19,0.69,FCMGorilla
flags_TEST.csv,14.97,23.89,0.48,FCMGorilla
flags_TRAIN.csv,17.03,23.01,0.48,FCMGorilla
soybean_TEST.csv,15.44,17.49,0.58,FCMGorilla
soybean_TRAIN.csv,9.18,18.38,0.61,FCMGorilla
statlog-shuttle_TRAIN.csv,11.46,15.96,0.69,FCMGorilla
statlog-shuttle_TEST.csv,10.5,13.69,0.69,FCMGorilla
molec-biol-splice_TEST.csv,11.96,15.75,0.64,FCMGorilla
molec-biol-splice_TRAIN.csv,13.08,16.72,0.65,FCMGorilla
horse-colic_TRAIN.csv,7.96,17.35,0.71,FCMGorilla
horse-colic_TEST.csv,8.7,7.81,0.73,FCMGorilla
heart-switzerland_TEST.csv,5.88,10.88,0.65,FCMGorilla
heart-switzerland_TRAIN.csv,6.28,8.73,0.63,FCMGorilla
ozone_TEST.csv,11.95,15.12,0.64,FCMGorilla
ozone_TRAIN.csv,12.26,14.93,0.65,FCMGorilla
congressional-voting_TRAIN.csv,28.07,19.59,0.37,FCMGorilla
congressional-voting_TEST.csv,18.61,18.82,0.37,FCMGorilla
mushroom_TEST.csv,15.62,27.57,0.51,FCMGorilla
mushroom_TRAIN.csv,15.89,22.39,0.51,FCMGorilla
abalone_TRAIN.csv,10.73,18.37,0.69,FCMGorilla
abalone_TEST.csv,9.37,12.71,0.7,FCMGorilla
libras_TEST.csv,14.69,20.05,0.69,FCMGorilla
libras_TRAIN.csv,11.07,19.42,0.67,FCMGorilla
car2_TRAIN.csv,14.29,13.39,0.57,FCMGorilla
car2_TEST.csv,15.59,25.68,0.57,FCMGorilla
statlog-image_TRAIN.csv,12.07,16.28,0.65,FCMGorilla
statlog-image_TEST.csv,14.82,10.84,0.65,FCMGorilla
magic_TRAIN.csv,10.01,10.69,0.68,FCMGorilla
magic_TEST.csv,9.26,12.48,0.69,FCMGorilla
iris_TEST.csv,8.93,9.59,0.66,FCMGorilla
iris_TRAIN.csv,5.67,8.87,0.66,FCMGorilla
credit-approval_TEST.csv,12.21,2.29,0.63,FCMGorilla
credit-approval_TRAIN.csv,15.8,20.54,0.63,FCMGorilla
spect_TEST.csv,14.33,18.37,0.75,FCMGorilla
spect_TRAIN.csv,15.11,12.86,0.82,FCMGorilla
ilpd-indian-liver_TEST.csv,13.78,17.29,0.67,FCMGorilla
ilpd-indian-liver_TRAIN.csv,9.57,10.28,0.67,FCMGorilla
oocytesMerlucciusStates2f_TRAIN.csv,11.92,18.15,0.69,FCMGorilla
oocytesMerlucciusStates2f_TEST.csv,9.92,11.56,0.69,FCMGorilla
cardiotocography-3clases_TEST.csv,17.5,24.14,0.59,FCMGorilla
cardiotocography-3clases_TRAIN.csv,14.92,15.4,0.6,FCMGorilla
ringnorm_TRAIN.csv,10.76,14.11,0.69,FCMGorilla
ringnorm_TEST.csv,12.24,17.1,0.69,FCMGorilla
bank_TEST.csv,12.66,22.84,0.61,FCMGorilla
bank_TRAIN.csv,14.14,17.0,0.6,FCMGorilla
primary-tumor_TEST.csv,15.18,27.8,0.5,FCMGorilla
primary-tumor_TRAIN.csv,21.2,18.96,0.49,FCMGorilla
haberman-survival_TEST.csv,2.93,6.63,0.76,FCMGorilla
haberman-survival_TRAIN.csv,9.33,11.16,0.76,FCMGorilla
page-blocks_TEST.csv,13.45,20.77,0.65,FCMGorilla
page-blocks_TRAIN.csv,14.57,14.59,0.64,FCMGorilla
post-operative_TRAIN.csv,13.79,23.34,0.42,FCMGorilla
post-operative_TEST.csv,14.2,26.79,0.42,FCMGorilla
plant-shape_TEST.csv,12.18,12.96,0.68,FCMGorilla
plant-shape_TRAIN.csv,10.77,13.69,0.68,FCMGorilla
monks-1_TRAIN.csv,9.38,16.57,0.85,FCMGorilla
monks-1_TEST.csv,12.42,13.55,0.86,FCMGorilla
fertility_TRAIN.csv,16.65,24.26,0.54,FCMGorilla
fertility_TEST.csv,13.38,22.0,0.55,FCMGorilla
spectf_TRAIN.csv,9.51,9.82,0.71,FCMGorilla
spectf_TEST.csv,11.88,11.08,0.72,FCMGorilla
heart-hungarian_TEST.csv,13.27,21.49,0.59,FCMGorilla
heart-hungarian_TRAIN.csv,13.0,14.75,0.58,FCMGorilla
breast-cancer_TRAIN.csv,11.82,19.71,0.49,FCMGorilla
breast-cancer_TEST.csv,10.88,12.13,0.5,FCMGorilla
heart-va_TRAIN.csv,9.53,12.61,0.54,FCMGorilla
heart-va_TEST.csv,11.42,13.35,0.54,FCMGorilla
energy-y1_TEST.csv,15.46,13.09,0.42,FCMGorilla
energy-y1_TRAIN.csv,25.82,33.2,0.41,FCMGorilla
statlog-australian-credit_TRAIN.csv,17.02,23.86,0.61,FCMGorilla
statlog-australian-credit_TEST.csv,16.89,23.52,0.62,FCMGorilla
conn-bench-vowel-deterding_TRAIN.csv,9.56,10.29,0.68,FCMGorilla
conn-bench-vowel-deterding_TEST.csv,12.24,21.01,0.68,FCMGorilla
planning_TEST.csv,8.74,13.83,0.67,FCMGorilla
planning_TRAIN.csv,11.41,18.24,0.68,FCMGorilla
annealing_TEST.csv,28.29,41.53,0.32,FCMGorilla
annealing_TRAIN.csv,17.44,19.29,0.34,FCMGorilla
lung-cancer_TEST.csv,13.92,20.13,0.61,FCMGorilla
lung-cancer_TRAIN.csv,16.01,22.75,0.57,FCMGorilla
molec-biol-promoter_TEST.csv,15.04,20.81,0.7,FCMGorilla
molec-biol-promoter_TRAIN.csv,15.84,21.64,0.68,FCMGorilla
semeion_TEST.csv,16.18,21.99,0.49,FCMGorilla
semeion_TRAIN.csv,17.31,21.17,0.49,FCMGorilla
statlog-vehicle_TRAIN.csv,9.33,11.79,0.68,FCMGorilla
statlog-vehicle_TEST.csv,10.97,21.33,0.69,FCMGorilla
lymphography_TRAIN.csv,18.21,26.1,0.54,FCMGorilla
lymphography_TEST.csv,17.42,25.72,0.51,FCMGorilla
cardiotocography-10clases_TRAIN.csv,12.83,23.03,0.6,FCMGorilla
cardiotocography-10clases_TEST.csv,11.25,14.44,0.6,FCMGorilla
pittsburg-bridges-T-OR-D_TRAIN.csv,13.12,18.81,0.64,FCMGorilla
pittsburg-bridges-T-OR-D_TEST.csv,11.19,16.75,0.63,FCMGorilla
letter_TEST.csv,14.01,19.17,0.62,FCMGorilla
letter_TRAIN.csv,14.28,17.24,0.62,FCMGorilla
echocardiogram_TEST.csv,6.39,9.23,0.61,FCMGorilla
echocardiogram_TRAIN.csv,10.31,10.83,0.58,FCMGorilla
statlog-landsat_TRAIN.csv,12.31,16.27,0.68,FCMGorilla
statlog-landsat_TEST.csv,13.04,15.68,0.69,FCMGorilla
audiology-std_TEST.csv,10.1,16.64,0.56,FCMGorilla
audiology-std_TRAIN.csv,13.67,13.34,0.56,FCMGorilla
blood_TEST.csv,14.36,20.99,0.67,FCMGorilla
blood_TRAIN.csv,14.79,20.75,0.67,FCMGorilla
hill-valley_TEST.csv,10.71,14.75,0.81,FCMGorilla
hill-valley_TRAIN.csv,10.11,11.2,0.83,FCMGorilla
statlog-heart_TEST.csv,11.39,20.93,0.67,FCMGorilla
statlog-heart_TRAIN.csv,16.01,22.5,0.65,FCMGorilla
musk-2_TEST.csv,11.49,14.05,0.67,FCMGorilla
musk-2_TRAIN.csv,10.58,13.54,0.67,FCMGorilla
contrac_TRAIN.csv,8.14,12.53,0.63,FCMGorilla
contrac_TEST.csv,13.08,23.96,0.61,FCMGorilla
pittsburg-bridges-TYPE_TRAIN.csv,14.91,22.89,0.58,FCMGorilla
pittsburg-bridges-TYPE_TEST.csv,10.32,15.28,0.63,FCMGorilla
glass_TRAIN.csv,14.46,15.9,0.69,FCMGorilla
glass_TEST.csv,12.46,17.73,0.71,FCMGorilla
pittsburg-bridges-SPAN_TRAIN.csv,16.36,22.4,0.53,FCMGorilla
pittsburg-bridges-SPAN_TEST.csv,13.29,20.19,0.52,FCMGorilla
breast-cancer-wisc-prog_TEST.csv,6.48,10.44,0.69,FCMGorilla
breast-cancer-wisc-prog_TRAIN.csv,11.53,10.45,0.68,FCMGorilla
spambase_TEST.csv,20.55,25.42,0.35,FCMGorilla
spambase_TRAIN.csv,21.09,30.01,0.34,FCMGorilla
optical_TEST.csv,15.06,20.33,0.53,FCMGorilla
optical_TRAIN.csv,16.27,19.76,0.53,FCMGorilla
chess-krvk_TEST.csv,13.52,19.49,0.67,FCMGorilla
chess-krvk_TRAIN.csv,13.31,15.88,0.67,FCMGorilla
breast-tissue_TRAIN.csv,8.95,12.28,0.68,FCMGorilla
breast-tissue_TEST.csv,7.98,12.97,0.7,FCMGorilla
zoo_TEST.csv,16.84,20.57,0.39,FCMGorilla
zoo_TRAIN.csv,12.49,17.29,0.38,FCMGorilla
wine2_TEST.csv,4.92,8.29,0.68,FCMGorilla
wine2_TRAIN.csv,7.17,10.39,0.67,FCMGorilla
seeds_TEST.csv,7.54,8.69,0.69,FCMGorilla
seeds_TRAIN.csv,10.11,18.95,0.7,FCMGorilla
wall-following_TEST.csv,12.07,16.44,0.68,FCMGorilla
wall-following_TRAIN.csv,11.67,15.28,0.68,FCMGorilla
parkinsons_TRAIN.csv,9.57,11.34,0.67,FCMGorilla
parkinsons_TEST.csv,14.65,20.26,0.68,FCMGorilla
miniboone_TEST.csv,10.32,12.42,0.64,FCMGorilla
miniboone_TRAIN.csv,10.53,11.15,0.64,FCMGorilla
teaching_TRAIN.csv,8.1,11.66,0.72,FCMGorilla
teaching_TEST.csv,8.82,12.18,0.74,FCMGorilla
ecoli_TRAIN.csv,16.06,24.53,0.58,FCMGorilla
ecoli_TEST.csv,12.91,21.07,0.6,FCMGorilla
mammographic_TEST.csv,10.71,15.98,0.58,FCMGorilla
mammographic_TRAIN.csv,15.97,25.61,0.57,FCMGorilla
oocytesMerlucciusNucleus4d_TRAIN.csv,11.75,11.97,0.69,FCMGorilla
oocytesMerlucciusNucleus4d_TEST.csv,13.87,17.81,0.69,FCMGorilla
vertebral-column-2clases_TEST.csv,9.4,9.5,0.69,FCMGorilla
vertebral-column-2clases_TRAIN.csv,8.95,10.51,0.7,FCMGorilla
titanic_TEST.csv,11.23,12.46,0.57,FCMGorilla
titanic_TRAIN.csv,15.61,11.66,0.56,FCMGorilla
twonorm_TEST.csv,12.03,14.93,0.69,FCMGorilla
twonorm_TRAIN.csv,11.47,14.55,0.69,FCMGorilla
plant-texture_TEST.csv,14.9,12.85,0.64,FCMGorilla
plant-texture_TRAIN.csv,10.66,16.57,0.64,FCMGorilla
wine-quality-white_TRAIN.csv,11.21,12.93,0.69,FCMGorilla
wine-quality-white_TEST.csv,15.41,14.3,0.69,FCMGorilla
breast-cancer-wisc_TEST.csv,11.83,23.83,0.57,FCMGorilla
breast-cancer-wisc_TRAIN.csv,17.45,15.61,0.57,FCMGorilla
steel-plates_TEST.csv,15.35,20.99,0.66,FCMGorilla
steel-plates_TRAIN.csv,13.12,13.22,0.66,FCMGorilla
acute-inflammation_TRAIN.csv,23.16,32.18,0.33,FCMGorilla
acute-inflammation_TEST.csv,12.61,17.98,0.52,FCMGorilla
thyroid_TRAIN.csv,26.6,33.09,0.28,FCMGorilla
thyroid_TEST.csv,20.91,45.22,0.28,FCMGorilla
