File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
synthetic-control_TEST.csv,3.05,4.08,0.7,GorillaRef
synthetic-control_TRAIN.csv,22.14,13.98,0.7,GorillaRef
chess-krvkp_TRAIN.csv,64.88,58.43,0.71,GorillaRef
chess-krvkp_TEST.csv,65.44,69.15,0.72,GorillaRef
balance-scale_TRAIN.csv,12.05,34.51,0.83,GorillaRef
balance-scale_TEST.csv,22.21,18.12,0.83,GorillaRef
statlog-german-credit_TEST.csv,61.6,15.38,0.71,GorillaRef
statlog-german-credit_TRAIN.csv,47.48,46.29,0.71,GorillaRef
acute-nephritis_TEST.csv,35.43,52.25,0.65,GorillaRef
acute-nephritis_TRAIN.csv,33.16,76.89,0.62,GorillaRef
pittsburg-bridges-MATERIAL_TRAIN.csv,29.39,65.26,0.72,GorillaRef
pittsburg-bridges-MATERIAL_TEST.csv,7.85,45.78,0.75,GorillaRef
musk-1_TRAIN.csv,37.03,83.95,0.7,GorillaRef
musk-1_TEST.csv,28.19,13.67,0.7,GorillaRef
cylinder-bands_TEST.csv,51.29,101.07,0.68,GorillaRef
cylinder-bands_TRAIN.csv,70.91,95.97,0.67,GorillaRef
low-res-spect_TEST.csv,68.6,69.83,0.68,GorillaRef
low-res-spect_TRAIN.csv,55.88,47.0,0.68,GorillaRef
balloons_TRAIN.csv,23.86,21.38,0.03,GorillaRef
balloons_TEST.csv,10.76,14.31,0.05,GorillaRef
oocytesTrisopterusNucleus2f_TEST.csv,70.88,96.78,0.69,GorillaRef
oocytesTrisopterusNucleus2f_TRAIN.csv,59.42,77.33,0.69,GorillaRef
ionosphere_TEST.csv,78.44,148.37,0.71,GorillaRef
ionosphere_TRAIN.csv,63.01,164.81,0.7,GorillaRef
breast-cancer-wisc-diag_TRAIN.csv,78.13,106.6,0.75,GorillaRef
breast-cancer-wisc-diag_TEST.csv,36.78,73.97,0.75,GorillaRef
pima_TRAIN.csv,96.76,165.24,0.68,GorillaRef
pima_TEST.csv,64.2,140.84,0.68,GorillaRef
tic-tac-toe_TEST.csv,84.1,125.87,0.86,GorillaRef
tic-tac-toe_TRAIN.csv,51.66,69.67,0.86,GorillaRef
pendigits_TRAIN.csv,94.1,90.89,0.71,GorillaRef
pendigits_TEST.csv,70.16,95.18,0.71,GorillaRef
conn-bench-sonar-mines-rocks_TRAIN.csv,66.07,70.91,0.69,GorillaRef
conn-bench-sonar-mines-rocks_TEST.csv,101.51,62.88,0.69,GorillaRef
flags_TEST.csv,74.15,96.89,0.66,GorillaRef
flags_TRAIN.csv,72.2,96.71,0.66,GorillaRef
soybean_TEST.csv,89.7,114.03,0.73,GorillaRef
soybean_TRAIN.csv,84.57,114.2,0.75,GorillaRef
statlog-shuttle_TRAIN.csv,103.79,92.07,0.71,GorillaRef
statlog-shuttle_TEST.csv,123.48,179.02,0.71,GorillaRef
molec-biol-splice_TEST.csv,128.46,178.03,0.7,GorillaRef
molec-biol-splice_TRAIN.csv,88.4,119.81,0.7,GorillaRef
horse-colic_TRAIN.csv,60.96,75.57,0.78,GorillaRef
horse-colic_TEST.csv,50.84,39.18,0.8,GorillaRef
heart-switzerland_TEST.csv,51.32,63.85,0.72,GorillaRef
heart-switzerland_TRAIN.csv,54.02,74.6,0.71,GorillaRef
ozone_TEST.csv,108.55,171.98,0.69,GorillaRef
ozone_TRAIN.csv,111.32,169.1,0.69,GorillaRef
congressional-voting_TRAIN.csv,100.75,123.71,0.61,GorillaRef
congressional-voting_TEST.csv,106.25,139.6,0.6,GorillaRef
mushroom_TEST.csv,107.64,180.45,0.71,GorillaRef
mushroom_TRAIN.csv,124.56,164.68,0.71,GorillaRef
abalone_TRAIN.csv,111.07,171.21,0.7,GorillaRef
abalone_TEST.csv,112.67,178.29,0.71,GorillaRef
libras_TEST.csv,60.17,90.19,0.7,GorillaRef
libras_TRAIN.csv,94.71,88.76,0.7,GorillaRef
car2_TRAIN.csv,50.31,26.73,0.52,GorillaRef
car2_TEST.csv,69.1,90.8,0.51,GorillaRef
statlog-image_TRAIN.csv,88.56,26.43,0.69,GorillaRef
statlog-image_TEST.csv,94.8,120.23,0.69,GorillaRef
magic_TRAIN.csv,83.14,104.77,0.69,GorillaRef
magic_TEST.csv,84.78,92.04,0.69,GorillaRef
iris_TEST.csv,40.39,47.01,0.66,GorillaRef
iris_TRAIN.csv,57.25,67.82,0.66,GorillaRef
credit-approval_TEST.csv,67.27,82.75,0.73,GorillaRef
credit-approval_TRAIN.csv,67.99,57.74,0.73,GorillaRef
spect_TEST.csv,30.04,62.4,0.72,GorillaRef
spect_TRAIN.csv,92.86,106.89,0.77,GorillaRef
ilpd-indian-liver_TEST.csv,117.03,154.98,0.67,GorillaRef
ilpd-indian-liver_TRAIN.csv,69.88,98.06,0.67,GorillaRef
oocytesMerlucciusStates2f_TRAIN.csv,48.78,92.72,0.69,GorillaRef
oocytesMerlucciusStates2f_TEST.csv,52.34,92.59,0.69,GorillaRef
cardiotocography-3clases_TEST.csv,67.69,78.12,0.65,GorillaRef
cardiotocography-3clases_TRAIN.csv,109.01,161.73,0.65,GorillaRef
ringnorm_TRAIN.csv,76.88,164.47,0.69,GorillaRef
ringnorm_TEST.csv,83.63,134.56,0.69,GorillaRef
bank_TEST.csv,98.26,162.27,0.73,GorillaRef
bank_TRAIN.csv,64.45,63.39,0.73,GorillaRef
primary-tumor_TEST.csv,55.69,25.47,0.77,GorillaRef
primary-tumor_TRAIN.csv,68.08,29.71,0.78,GorillaRef
haberman-survival_TEST.csv,43.31,27.77,0.76,GorillaRef
haberman-survival_TRAIN.csv,54.37,49.19,0.77,GorillaRef
page-blocks_TEST.csv,64.61,89.34,0.66,GorillaRef
page-blocks_TRAIN.csv,60.59,52.9,0.65,GorillaRef
post-operative_TRAIN.csv,53.81,74.93,0.54,GorillaRef
post-operative_TEST.csv,14.42,15.35,0.55,GorillaRef
plant-shape_TEST.csv,107.0,122.68,0.68,GorillaRef
plant-shape_TRAIN.csv,73.63,51.16,0.68,GorillaRef
monks-1_TRAIN.csv,74.79,121.88,0.88,GorillaRef
monks-1_TEST.csv,59.29,81.87,0.9,GorillaRef
fertility_TRAIN.csv,75.74,110.34,0.63,GorillaRef
fertility_TEST.csv,60.67,77.16,0.63,GorillaRef
spectf_TRAIN.csv,59.87,84.94,0.72,GorillaRef
spectf_TEST.csv,64.78,82.53,0.72,GorillaRef
heart-hungarian_TEST.csv,71.42,107.25,0.69,GorillaRef
heart-hungarian_TRAIN.csv,54.28,72.24,0.7,GorillaRef
breast-cancer_TRAIN.csv,58.42,70.98,0.63,GorillaRef
breast-cancer_TEST.csv,65.03,77.3,0.61,GorillaRef
heart-va_TRAIN.csv,54.37,96.04,0.64,GorillaRef
heart-va_TEST.csv,80.26,111.98,0.62,GorillaRef
energy-y1_TEST.csv,48.6,59.52,0.61,GorillaRef
energy-y1_TRAIN.csv,117.39,151.74,0.61,GorillaRef
statlog-australian-credit_TRAIN.csv,98.15,126.76,0.7,GorillaRef
statlog-australian-credit_TEST.csv,74.49,91.41,0.7,GorillaRef
conn-bench-vowel-deterding_TRAIN.csv,25.44,39.87,0.68,GorillaRef
conn-bench-vowel-deterding_TEST.csv,66.48,115.05,0.68,GorillaRef
planning_TEST.csv,42.98,57.81,0.68,GorillaRef
planning_TRAIN.csv,75.06,86.66,0.7,GorillaRef
annealing_TEST.csv,59.1,129.04,0.7,GorillaRef
annealing_TRAIN.csv,112.52,155.44,0.7,GorillaRef
lung-cancer_TEST.csv,68.26,77.33,0.64,GorillaRef
lung-cancer_TRAIN.csv,116.85,147.13,0.62,GorillaRef
molec-biol-promoter_TEST.csv,42.83,52.39,0.74,GorillaRef
molec-biol-promoter_TRAIN.csv,84.95,138.54,0.74,GorillaRef
semeion_TEST.csv,126.36,165.11,0.69,GorillaRef
semeion_TRAIN.csv,86.63,165.46,0.69,GorillaRef
statlog-vehicle_TRAIN.csv,58.57,111.7,0.69,GorillaRef
statlog-vehicle_TEST.csv,57.05,85.27,0.7,GorillaRef
lymphography_TRAIN.csv,32.21,46.23,0.76,GorillaRef
lymphography_TEST.csv,40.52,44.35,0.76,GorillaRef
cardiotocography-10clases_TRAIN.csv,113.95,87.58,0.65,GorillaRef
cardiotocography-10clases_TEST.csv,132.52,202.0,0.65,GorillaRef
pittsburg-bridges-T-OR-D_TRAIN.csv,91.09,107.09,0.72,GorillaRef
pittsburg-bridges-T-OR-D_TEST.csv,26.74,16.98,0.71,GorillaRef
letter_TEST.csv,112.29,85.13,0.64,GorillaRef
letter_TRAIN.csv,77.59,91.52,0.64,GorillaRef
echocardiogram_TEST.csv,55.74,60.21,0.62,GorillaRef
echocardiogram_TRAIN.csv,84.04,97.82,0.61,GorillaRef
statlog-landsat_TRAIN.csv,97.29,143.24,0.7,GorillaRef
statlog-landsat_TEST.csv,102.25,168.55,0.7,GorillaRef
audiology-std_TEST.csv,139.76,175.07,0.55,GorillaRef
audiology-std_TRAIN.csv,119.4,133.93,0.55,GorillaRef
blood_TEST.csv,54.06,58.85,0.52,GorillaRef
blood_TRAIN.csv,74.69,74.0,0.52,GorillaRef
hill-valley_TEST.csv,56.13,82.73,0.8,GorillaRef
hill-valley_TRAIN.csv,79.28,142.98,0.83,GorillaRef
statlog-heart_TEST.csv,83.44,117.11,0.71,GorillaRef
statlog-heart_TRAIN.csv,115.55,126.89,0.7,GorillaRef
musk-2_TEST.csv,84.63,75.48,0.69,GorillaRef
musk-2_TRAIN.csv,108.51,163.5,0.69,GorillaRef
contrac_TRAIN.csv,57.88,84.35,0.75,GorillaRef
contrac_TEST.csv,47.32,72.61,0.75,GorillaRef
pittsburg-bridges-TYPE_TRAIN.csv,52.6,54.76,0.66,GorillaRef
pittsburg-bridges-TYPE_TEST.csv,74.92,74.26,0.69,GorillaRef
glass_TRAIN.csv,54.16,82.13,0.7,GorillaRef
glass_TEST.csv,49.59,65.47,0.71,GorillaRef
pittsburg-bridges-SPAN_TRAIN.csv,62.94,76.7,0.61,GorillaRef
pittsburg-bridges-SPAN_TEST.csv,43.21,50.04,0.62,GorillaRef
