File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
synthetic-control_TEST.csv,5.01,9.94,0.62,SprintzRef
synthetic-control_TRAIN.csv,35.61,22.43,0.62,SprintzRef
chess-krvkp_TRAIN.csv,20.37,40.42,0.64,SprintzRef
chess-krvkp_TEST.csv,72.12,86.25,0.65,SprintzRef
balance-scale_TRAIN.csv,3.47,7.53,0.87,SprintzRef
balance-scale_TEST.csv,0.94,25.29,0.87,SprintzRef
statlog-german-credit_TEST.csv,32.0,42.87,0.64,SprintzRef
statlog-german-credit_TRAIN.csv,34.89,65.86,0.64,SprintzRef
acute-nephritis_TEST.csv,33.52,37.74,0.56,SprintzRef
acute-nephritis_TRAIN.csv,36.98,53.26,0.54,SprintzRef
pittsburg-bridges-MATERIAL_TRAIN.csv,36.08,45.63,0.64,SprintzRef
pittsburg-bridges-MATERIAL_TEST.csv,26.21,32.37,0.67,SprintzRef
musk-1_TRAIN.csv,8.5,95.98,0.63,SprintzRef
musk-1_TEST.csv,26.8,102.52,0.63,SprintzRef
cylinder-bands_TEST.csv,44.52,89.36,0.61,SprintzRef
cylinder-bands_TRAIN.csv,44.96,80.04,0.61,SprintzRef
low-res-spect_TEST.csv,34.98,14.24,0.59,SprintzRef
low-res-spect_TRAIN.csv,58.87,129.43,0.6,SprintzRef
balloons_TRAIN.csv,14.01,41.28,0.03,SprintzRef
balloons_TEST.csv,12.38,21.65,0.06,SprintzRef
oocytesTrisopterusNucleus2f_TEST.csv,59.08,95.28,0.62,SprintzRef
oocytesTrisopterusNucleus2f_TRAIN.csv,73.11,100.35,0.62,SprintzRef
ionosphere_TEST.csv,70.76,94.96,0.64,SprintzRef
ionosphere_TRAIN.csv,116.14,109.76,0.64,SprintzRef
breast-cancer-wisc-diag_TRAIN.csv,61.52,86.23,0.67,SprintzRef
breast-cancer-wisc-diag_TEST.csv,22.6,82.49,0.67,SprintzRef
pima_TRAIN.csv,73.19,87.44,0.61,SprintzRef
pima_TEST.csv,64.99,82.78,0.61,SprintzRef
tic-tac-toe_TEST.csv,54.9,57.59,0.78,SprintzRef
tic-tac-toe_TRAIN.csv,90.68,135.27,0.78,SprintzRef
pendigits_TRAIN.csv,69.11,93.39,0.63,SprintzRef
pendigits_TEST.csv,104.62,146.53,0.63,SprintzRef
conn-bench-sonar-mines-rocks_TRAIN.csv,57.22,115.03,0.62,SprintzRef
conn-bench-sonar-mines-rocks_TEST.csv,48.31,70.42,0.61,SprintzRef
flags_TEST.csv,42.02,79.76,0.59,SprintzRef
flags_TRAIN.csv,102.86,160.13,0.59,SprintzRef
soybean_TEST.csv,48.86,78.44,0.78,SprintzRef
soybean_TRAIN.csv,88.07,135.58,0.81,SprintzRef
statlog-shuttle_TRAIN.csv,83.79,124.37,0.65,SprintzRef
statlog-shuttle_TEST.csv,78.88,146.91,0.65,SprintzRef
molec-biol-splice_TEST.csv,101.82,153.34,0.61,SprintzRef
molec-biol-splice_TRAIN.csv,120.09,62.58,0.61,SprintzRef
horse-colic_TRAIN.csv,100.4,160.36,0.73,SprintzRef
horse-colic_TEST.csv,72.98,110.71,0.75,SprintzRef
heart-switzerland_TEST.csv,66.12,74.32,0.65,SprintzRef
heart-switzerland_TRAIN.csv,54.05,59.57,0.64,SprintzRef
ozone_TEST.csv,121.22,174.95,0.61,SprintzRef
ozone_TRAIN.csv,79.88,129.74,0.61,SprintzRef
congressional-voting_TRAIN.csv,56.25,84.76,0.57,SprintzRef
congressional-voting_TEST.csv,28.93,42.94,0.57,SprintzRef
mushroom_TEST.csv,130.17,154.63,0.63,SprintzRef
mushroom_TRAIN.csv,93.93,179.16,0.63,SprintzRef
abalone_TRAIN.csv,66.1,103.11,0.62,SprintzRef
abalone_TEST.csv,104.65,169.94,0.62,SprintzRef
libras_TEST.csv,58.65,133.2,0.62,SprintzRef
libras_TRAIN.csv,57.29,109.11,0.62,SprintzRef
car2_TRAIN.csv,86.59,170.05,0.52,SprintzRef
car2_TEST.csv,129.63,189.39,0.52,SprintzRef
statlog-image_TRAIN.csv,48.03,89.04,0.62,SprintzRef
statlog-image_TEST.csv,93.39,161.22,0.62,SprintzRef
magic_TRAIN.csv,115.29,112.32,0.62,SprintzRef
