File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
synthetic-control_TEST.csv,683.32,1642.2,0.68,ToBinary
synthetic-control_TRAIN.csv,655.41,1607.81,0.68,ToBinary
chess-krvkp_TRAIN.csv,673.68,1662.9,0.69,ToBinary
chess-krvkp_TEST.csv,224.77,461.37,0.69,ToBinary
balance-scale_TRAIN.csv,235.84,474.25,1.01,ToBinary
balance-scale_TEST.csv,193.19,447.11,0.99,ToBinary
statlog-german-credit_TEST.csv,490.11,1254.95,0.69,ToBinary
statlog-german-credit_TRAIN.csv,565.36,1641.41,0.69,ToBinary
acute-nephritis_TEST.csv,414.33,1094.67,0.63,ToBinary
acute-nephritis_TRAIN.csv,596.6,1531.56,0.6,ToBinary
pittsburg-bridges-MATERIAL_TRAIN.csv,499.01,1233.76,0.7,ToBinary
pittsburg-bridges-MATERIAL_TEST.csv,325.93,858.55,0.72,ToBinary
musk-1_TRAIN.csv,450.71,932.68,0.68,ToBinary
musk-1_TEST.csv,684.64,1707.96,0.68,ToBinary
cylinder-bands_TEST.csv,690.94,1750.89,0.66,ToBinary
cylinder-bands_TRAIN.csv,416.21,1075.53,0.65,ToBinary
low-res-spect_TEST.csv,642.11,1601.75,0.66,ToBinary
low-res-spect_TRAIN.csv,448.62,1431.06,0.66,ToBinary
balloons_TRAIN.csv,215.94,556.2,0.41,ToBinary
balloons_TEST.csv,78.89,199.2,0.41,ToBinary
oocytesTrisopterusNucleus2f_TEST.csv,686.51,1706.09,0.67,ToBinary
oocytesTrisopterusNucleus2f_TRAIN.csv,697.97,1743.68,0.67,ToBinary
ionosphere_TEST.csv,320.55,788.76,0.68,ToBinary
ionosphere_TRAIN.csv,221.53,580.81,0.68,ToBinary
breast-cancer-wisc-diag_TRAIN.csv,374.15,685.93,0.72,ToBinary
breast-cancer-wisc-diag_TEST.csv,394.53,775.47,0.73,ToBinary
pima_TRAIN.csv,451.58,878.19,0.65,ToBinary
pima_TEST.csv,574.83,1438.44,0.66,ToBinary
tic-tac-toe_TEST.csv,455.97,1169.24,0.87,ToBinary
tic-tac-toe_TRAIN.csv,478.01,1209.02,0.87,ToBinary
pendigits_TRAIN.csv,420.98,613.76,0.69,ToBinary
pendigits_TEST.csv,665.17,1691.79,0.69,ToBinary
conn-bench-sonar-mines-rocks_TRAIN.csv,513.83,1258.43,0.67,ToBinary
conn-bench-sonar-mines-rocks_TEST.csv,671.79,1677.02,0.67,ToBinary
flags_TEST.csv,603.65,1433.56,0.64,ToBinary
flags_TRAIN.csv,641.72,1643.37,0.64,ToBinary
soybean_TEST.csv,421.4,1042.33,0.99,ToBinary
soybean_TRAIN.csv,294.27,628.97,1.02,ToBinary
statlog-shuttle_TRAIN.csv,546.82,1672.89,0.68,ToBinary
statlog-shuttle_TEST.csv,493.93,944.3,0.68,ToBinary
molec-biol-splice_TEST.csv,686.02,1710.94,0.68,ToBinary
molec-biol-splice_TRAIN.csv,634.4,1530.91,0.68,ToBinary
horse-colic_TRAIN.csv,584.25,1464.74,0.78,ToBinary
horse-colic_TEST.csv,323.33,799.58,0.81,ToBinary
heart-switzerland_TEST.csv,314.18,741.08,0.7,ToBinary
heart-switzerland_TRAIN.csv,360.06,866.25,0.69,ToBinary
ozone_TEST.csv,635.52,1722.01,0.67,ToBinary
ozone_TRAIN.csv,634.61,1370.62,0.67,ToBinary
congressional-voting_TRAIN.csv,353.63,871.05,0.63,ToBinary
congressional-voting_TEST.csv,320.74,835.07,0.62,ToBinary
mushroom_TEST.csv,629.83,1574.72,0.68,ToBinary
mushroom_TRAIN.csv,661.79,1540.02,0.69,ToBinary
abalone_TRAIN.csv,666.4,1690.1,0.68,ToBinary
abalone_TEST.csv,609.06,730.71,0.69,ToBinary
libras_TEST.csv,682.3,1637.73,0.68,ToBinary
libras_TRAIN.csv,578.01,1323.33,0.67,ToBinary
car2_TRAIN.csv,576.63,1412.14,0.59,ToBinary
car2_TEST.csv,552.09,1402.63,0.59,ToBinary
statlog-image_TRAIN.csv,689.4,1723.01,0.67,ToBinary
statlog-image_TEST.csv,688.76,1039.9,0.67,ToBinary
magic_TRAIN.csv,535.16,1523.87,0.67,ToBinary
magic_TEST.csv,631.69,1693.29,0.67,ToBinary
iris_TEST.csv,265.32,677.87,0.63,ToBinary
iris_TRAIN.csv,272.65,740.6,0.64,ToBinary
credit-approval_TEST.csv,384.09,946.64,0.7,ToBinary
credit-approval_TRAIN.csv,401.67,911.01,0.71,ToBinary
