File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,78.98,118.61,0.71,GorillaRef
SyntheticControl,97.77,131.38,0.7,GorillaRef
Worms,103.39,152.19,0.68,GorillaRef
Computers,206.39,234.12,0.21,GorillaRef
HouseTwenty,125.92,77.45,0.47,GorillaRef
GestureMidAirD3,57.86,83.99,0.68,GorillaRef
Chinatown,13.55,92.64,0.69,GorillaRef
UWaveGestureLibraryAll,74.02,71.71,0.51,GorillaRef
Strawberry,63.74,85.27,0.68,GorillaRef
Car,13.57,81.02,0.72,GorillaRef
GunPointAgeSpan,68.19,38.12,0.67,GorillaRef
GestureMidAirD2,69.56,26.81,0.68,GorillaRef
BeetleFly,48.64,48.09,0.71,GorillaRef
Wafer,125.74,93.51,0.36,GorillaRef
CBF,94.52,114.79,0.7,GorillaRef
Adiac,22.57,65.63,0.71,GorillaRef
ItalyPowerDemand,54.58,84.58,0.67,GorillaRef
Yoga,53.71,65.69,0.71,GorillaRef
AllGestureWiimoteY,84.52,51.02,0.67,GorillaRef
Trace,60.16,70.32,0.73,GorillaRef
PigAirwayPressure,86.59,125.4,0.65,GorillaRef
ShapesAll,64.8,51.06,0.7,GorillaRef
Beef,41.05,76.72,0.7,GorillaRef
GesturePebbleZ2,66.25,92.28,0.67,GorillaRef
Mallat,47.58,59.27,0.72,GorillaRef
GunPointOldVersusYoung,80.19,59.89,0.67,GorillaRef
MiddlePhalanxTW,39.86,12.42,0.63,GorillaRef
AllGestureWiimoteX,81.66,158.03,0.67,GorillaRef
Meat,96.75,134.08,0.69,GorillaRef
Herring,106.87,139.49,0.72,GorillaRef
MiddlePhalanxOutlineCorrect,52.7,141.48,0.69,GorillaRef
InsectEPGRegularTrain,72.03,159.99,0.56,GorillaRef
FordA,81.39,140.04,0.71,GorillaRef
SwedishLeaf,112.7,155.79,0.69,GorillaRef
InlineSkate,90.1,114.01,0.71,GorillaRef
DodgerLoopDay,68.01,111.51,0.63,GorillaRef
UMD,61.85,103.56,0.65,GorillaRef
CricketY,72.74,117.31,0.7,GorillaRef
WormsTwoClass,74.83,91.71,0.68,GorillaRef
SmoothSubspace,81.55,159.14,0.68,GorillaRef
OSULeaf,111.15,115.67,0.71,GorillaRef
Ham,105.78,141.4,0.67,GorillaRef
CricketX,107.31,155.05,0.7,GorillaRef
SonyAIBORobotSurface1,129.43,167.96,0.52,GorillaRef
ToeSegmentation1,113.24,147.93,0.7,GorillaRef
ScreenType,441.5,345.97,0.14,GorillaRef
PigArtPressure,104.59,171.19,0.68,GorillaRef
SmallKitchenAppliances,629.59,337.73,0.09,GorillaRef
Crop,109.97,152.87,0.67,GorillaRef
MoteStrain,122.75,140.32,0.68,GorillaRef
MelbournePedestrian,113.8,131.96,0.67,GorillaRef
ECGFiveDays,121.69,149.48,0.63,GorillaRef
Wine,75.4,98.37,0.68,GorillaRef
SemgHandMovementCh2,104.52,107.85,0.67,GorillaRef
FreezerSmallTrain,93.13,79.98,0.74,GorillaRef
UWaveGestureLibraryZ,146.45,175.04,0.52,GorillaRef
NonInvasiveFetalECGThorax1,103.63,102.27,0.69,GorillaRef
TwoLeadECG,113.93,136.32,0.64,GorillaRef
Lightning7,116.9,145.76,0.56,GorillaRef
Phoneme,101.47,109.09,0.71,GorillaRef
SemgHandSubjectCh2,113.28,146.26,0.67,GorillaRef
DodgerLoopWeekend,126.8,163.76,0.63,GorillaRef
MiddlePhalanxOutlineAgeGroup,107.95,149.23,0.69,GorillaRef
GestureMidAirD1,121.34,151.1,0.68,GorillaRef
DistalPhalanxOutlineCorrect,122.35,163.25,0.63,GorillaRef
DistalPhalanxTW,122.09,165.64,0.62,GorillaRef
FacesUCR,105.16,141.19,0.68,GorillaRef
ECG5000,104.72,131.84,0.69,GorillaRef
ShakeGestureWiimoteZ,115.87,106.28,0.68,GorillaRef
GesturePebbleZ1,93.77,83.11,0.66,GorillaRef
HandOutlines,106.51,105.54,0.7,GorillaRef
GunPointMaleVersusFemale,118.09,158.38,0.67,GorillaRef
Coffee,72.0,113.22,0.71,GorillaRef
Rock,74.42,116.84,0.68,GorillaRef
MixedShapesSmallTrain,61.03,72.03,0.72,GorillaRef
AllGestureWiimoteZ,51.58,66.83,0.67,GorillaRef
FordB,68.04,45.01,0.71,GorillaRef
FiftyWords,83.28,11.63,0.69,GorillaRef
InsectWingbeatSound,83.41,30.48,0.69,GorillaRef
MedicalImages,39.46,35.86,0.68,GorillaRef
Symbols,85.51,133.74,0.63,GorillaRef
ArrowHead,86.85,154.17,0.7,GorillaRef
ProximalPhalanxOutlineAgeGroup,117.44,139.35,0.58,GorillaRef
EOGHorizontalSignal,63.17,48.56,0.67,GorillaRef
TwoPatterns,97.96,75.26,0.45,GorillaRef
ChlorineConcentration,54.53,88.68,0.69,GorillaRef
Plane,35.28,53.37,0.7,GorillaRef
ACSF1,57.24,25.13,0.63,GorillaRef
PhalangesOutlinesCorrect,73.67,153.44,0.63,GorillaRef
ShapeletSim,40.27,131.63,0.72,GorillaRef
DistalPhalanxOutlineAgeGroup,130.98,140.27,0.63,GorillaRef
InsectEPGSmallTrain,51.51,116.68,0.56,GorillaRef
PickupGestureWiimoteZ,64.18,107.34,0.68,GorillaRef
EOGVerticalSignal,91.54,99.59,0.67,GorillaRef
CricketZ,84.8,93.83,0.7,GorillaRef
FaceFour,142.54,147.79,0.37,GorillaRef
RefrigerationDevices,163.64,203.93,0.26,GorillaRef
PLAID,80.09,71.22,0.67,GorillaRef
MixedShapesRegularTrain,55.29,78.8,0.72,GorillaRef
GunPoint,68.66,97.95,0.71,GorillaRef
DodgerLoopGame,96.96,93.93,0.63,GorillaRef
ECG200,84.17,43.88,0.7,GorillaRef
ToeSegmentation2,60.95,91.39,0.7,GorillaRef
WordSynonyms,60.68,112.33,0.67,GorillaRef
Fungi,119.26,185.13,0.65,GorillaRef
BirdChicken,85.73,129.95,0.7,GorillaRef
SemgHandGenderCh2,90.15,124.54,0.67,GorillaRef
OliveOil,96.78,133.92,0.7,GorillaRef
BME,101.46,134.65,0.65,GorillaRef
LargeKitchenAppliances,416.51,263.97,0.12,GorillaRef
SonyAIBORobotSurface2,153.27,160.48,0.52,GorillaRef
Lightning2,67.38,160.28,0.56,GorillaRef
EthanolLevel,100.95,89.94,0.67,GorillaRef
UWaveGestureLibraryX,86.47,136.57,0.52,GorillaRef
FreezerRegularTrain,81.57,73.43,0.74,GorillaRef
Fish,113.3,157.12,0.72,GorillaRef
ProximalPhalanxOutlineCorrect,126.22,211.32,0.56,GorillaRef
NonInvasiveFetalECGThorax2,57.09,57.23,0.69,GorillaRef
UWaveGestureLibraryY,169.26,182.68,0.48,GorillaRef
FaceAll,101.34,106.56,0.68,GorillaRef
StarLightCurves,64.44,56.29,0.71,GorillaRef
ElectricDevices,108.58,214.8,0.3,GorillaRef
Earthquakes,281.36,234.03,0.23,GorillaRef
PowerCons,72.76,48.72,0.59,GorillaRef
DiatomSizeReduction,109.08,150.05,0.71,GorillaRef
CinCECGTorso,75.05,16.41,0.67,GorillaRef
PigCVP,96.26,132.95,0.67,GorillaRef
ProximalPhalanxTW,117.5,194.1,0.6,GorillaRef
Average,100,118,0.63,GorillaRef
