File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,69.96,126.19,0.58,SprintzRef
SyntheticControl,72.22,164.85,0.66,SprintzRef
Worms,115.24,112.79,0.6,SprintzRef
Computers,148.17,153.58,0.26,SprintzRef
HouseTwenty,100.63,160.73,0.54,SprintzRef
GestureMidAirD3,121.16,205.93,0.55,SprintzRef
Chinatown,99.58,178.7,0.62,SprintzRef
UWaveGestureLibraryAll,103.19,106.74,0.45,SprintzRef
Strawberry,112.87,167.66,0.58,SprintzRef
Car,115.62,175.38,0.57,SprintzRef
GunPointAgeSpan,101.65,156.83,0.54,SprintzRef
GestureMidAirD2,73.96,107.09,0.56,SprintzRef
BeetleFly,37.76,70.2,0.61,SprintzRef
Wafer,110.44,188.9,0.41,SprintzRef
CBF,101.55,138.92,0.65,SprintzRef
Adiac,98.58,123.11,0.59,SprintzRef
ItalyPowerDemand,124.44,187.2,0.64,SprintzRef
Yoga,95.71,148.95,0.58,SprintzRef
AllGestureWiimoteY,86.7,98.67,0.55,SprintzRef
Trace,48.06,72.11,0.62,SprintzRef
PigAirwayPressure,99.75,153.2,0.55,SprintzRef
ShapesAll,78.24,161.97,0.59,SprintzRef
Beef,12.4,138.94,0.59,SprintzRef
GesturePebbleZ2,64.18,87.54,0.56,SprintzRef
Mallat,68.17,126.46,0.56,SprintzRef
GunPointOldVersusYoung,118.77,164.08,0.54,SprintzRef
MiddlePhalanxTW,116.17,174.65,0.56,SprintzRef
AllGestureWiimoteX,116.81,189.02,0.56,SprintzRef
Meat,75.2,181.96,0.56,SprintzRef
Herring,51.04,92.98,0.58,SprintzRef
MiddlePhalanxOutlineCorrect,73.65,104.47,0.6,SprintzRef
InsectEPGRegularTrain,62.44,82.32,0.58,SprintzRef
FordA,85.86,129.66,0.64,SprintzRef
SwedishLeaf,94.98,127.3,0.61,SprintzRef
InlineSkate,88.22,127.55,0.59,SprintzRef
DodgerLoopDay,134.96,144.98,0.63,SprintzRef
UMD,100.83,163.47,0.57,SprintzRef
CricketY,68.37,113.86,0.62,SprintzRef
WormsTwoClass,61.37,151.55,0.6,SprintzRef
SmoothSubspace,86.43,129.5,0.65,SprintzRef
OSULeaf,102.46,171.83,0.6,SprintzRef
Ham,100.25,76.15,0.59,SprintzRef
CricketX,73.55,99.82,0.62,SprintzRef
SonyAIBORobotSurface1,99.56,148.6,0.62,SprintzRef
ToeSegmentation1,102.42,159.77,0.61,SprintzRef
ScreenType,138.04,127.84,0.19,SprintzRef
PigArtPressure,91.35,158.55,0.57,SprintzRef
SmallKitchenAppliances,208.73,349.04,0.11,SprintzRef
Crop,102.03,137.77,0.62,SprintzRef
MoteStrain,51.21,90.52,0.6,SprintzRef
MelbournePedestrian,120.66,123.87,0.62,SprintzRef
ECGFiveDays,55.76,58.99,0.59,SprintzRef
Wine,77.26,103.44,0.57,SprintzRef
SemgHandMovementCh2,95.25,149.78,0.63,SprintzRef
FreezerSmallTrain,89.39,151.71,0.57,SprintzRef
UWaveGestureLibraryZ,133.51,155.89,0.44,SprintzRef
NonInvasiveFetalECGThorax1,84.75,137.0,0.58,SprintzRef
TwoLeadECG,68.34,103.98,0.6,SprintzRef
Lightning7,134.21,200.28,0.51,SprintzRef
Phoneme,92.85,116.47,0.63,SprintzRef
SemgHandSubjectCh2,80.96,124.32,0.63,SprintzRef
DodgerLoopWeekend,107.43,113.59,0.62,SprintzRef
MiddlePhalanxOutlineAgeGroup,114.7,146.72,0.61,SprintzRef
GestureMidAirD1,86.31,182.2,0.54,SprintzRef
DistalPhalanxOutlineCorrect,106.39,104.02,0.57,SprintzRef
DistalPhalanxTW,62.87,99.74,0.56,SprintzRef
FacesUCR,98.84,144.37,0.64,SprintzRef
ECG5000,93.51,141.02,0.61,SprintzRef
ShakeGestureWiimoteZ,73.55,95.21,0.58,SprintzRef
GesturePebbleZ1,103.77,136.78,0.56,SprintzRef
HandOutlines,109.69,147.52,0.54,SprintzRef
GunPointMaleVersusFemale,60.12,85.41,0.54,SprintzRef
Coffee,70.41,92.06,0.6,SprintzRef
Rock,65.51,181.88,0.54,SprintzRef
MixedShapesSmallTrain,76.28,89.65,0.57,SprintzRef
AllGestureWiimoteZ,96.56,139.38,0.56,SprintzRef
FordB,103.53,160.82,0.64,SprintzRef
FiftyWords,83.43,152.14,0.57,SprintzRef
InsectWingbeatSound,98.17,131.15,0.57,SprintzRef
MedicalImages,129.72,140.03,0.58,SprintzRef
Symbols,98.47,166.56,0.51,SprintzRef
ArrowHead,74.45,142.85,0.6,SprintzRef
ProximalPhalanxOutlineAgeGroup,102.42,167.48,0.52,SprintzRef
EOGHorizontalSignal,60.83,79.91,0.53,SprintzRef
TwoPatterns,106.86,153.34,0.46,SprintzRef
ChlorineConcentration,33.9,35.91,0.63,SprintzRef
Plane,85.38,161.69,0.61,SprintzRef
ACSF1,42.83,81.32,0.62,SprintzRef
PhalangesOutlinesCorrect,40.48,175.98,0.56,SprintzRef
ShapeletSim,62.14,114.1,0.68,SprintzRef
DistalPhalanxOutlineAgeGroup,53.97,172.82,0.57,SprintzRef
InsectEPGSmallTrain,59.54,87.91,0.58,SprintzRef
PickupGestureWiimoteZ,74.91,89.32,0.58,SprintzRef
EOGVerticalSignal,57.27,89.41,0.53,SprintzRef
CricketZ,50.17,144.72,0.62,SprintzRef
FaceFour,78.22,57.39,0.6,SprintzRef
RefrigerationDevices,99.46,202.68,0.36,SprintzRef
PLAID,99.6,106.69,0.58,SprintzRef
MixedShapesRegularTrain,81.21,99.37,0.57,SprintzRef
GunPoint,88.07,143.83,0.58,SprintzRef
DodgerLoopGame,107.14,196.17,0.62,SprintzRef
ECG200,111.05,179.52,0.63,SprintzRef
ToeSegmentation2,90.72,165.74,0.6,SprintzRef
WordSynonyms,87.31,153.89,0.56,SprintzRef
Fungi,121.51,143.82,0.54,SprintzRef
BirdChicken,106.39,188.87,0.59,SprintzRef
SemgHandGenderCh2,101.15,152.57,0.63,SprintzRef
OliveOil,97.9,144.35,0.57,SprintzRef
BME,133.72,152.61,0.57,SprintzRef
LargeKitchenAppliances,168.57,364.96,0.13,SprintzRef
SonyAIBORobotSurface2,91.19,160.61,0.62,SprintzRef
Lightning2,72.26,101.83,0.5,SprintzRef
EthanolLevel,106.29,166.87,0.52,SprintzRef
