File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,645.43,1611.25,0.69,ToBinary
SyntheticControl,625.96,950.32,0.68,ToBinary
Worms,55.75,840.08,0.7,ToBinary
Computers,393.9,698.06,0.64,ToBinary
HouseTwenty,451.01,1803.27,0.64,ToBinary
GestureMidAirD3,322.49,928.24,0.66,ToBinary
Chinatown,629.01,1558.2,0.67,ToBinary
UWaveGestureLibraryAll,527.69,1175.36,0.69,ToBinary
Strawberry,692.29,1727.95,0.67,ToBinary
Car,337.37,576.37,0.7,ToBinary
GunPointAgeSpan,712.61,1787.17,0.66,ToBinary
GestureMidAirD2,431.28,769.4,0.66,ToBinary
BeetleFly,599.66,1469.52,0.69,ToBinary
Wafer,601.35,903.67,0.68,ToBinary
CBF,679.49,1688.4,0.68,ToBinary
Adiac,671.2,1680.26,0.69,ToBinary
ItalyPowerDemand,325.02,711.37,0.68,ToBinary
Yoga,551.65,1647.73,0.69,ToBinary
AllGestureWiimoteY,610.0,1487.31,0.65,ToBinary
Trace,387.47,999.4,0.71,ToBinary
PigAirwayPressure,656.4,1729.35,0.65,ToBinary
ShapesAll,657.98,1651.48,0.69,ToBinary
Beef,658.97,1633.9,0.68,ToBinary
GesturePebbleZ2,638.92,959.11,0.65,ToBinary
Mallat,372.14,1050.51,0.7,ToBinary
GunPointOldVersusYoung,530.8,1398.4,0.66,ToBinary
MiddlePhalanxTW,404.86,995.01,0.68,ToBinary
AllGestureWiimoteX,602.78,1704.82,0.65,ToBinary
Meat,656.9,693.2,0.67,ToBinary
Herring,384.34,1241.45,0.69,ToBinary
MiddlePhalanxOutlineCorrect,658.12,1712.85,0.68,ToBinary
InsectEPGRegularTrain,616.98,1729.66,0.66,ToBinary
FordA,435.5,1608.38,0.69,ToBinary
SwedishLeaf,652.85,1715.32,0.67,ToBinary
InlineSkate,565.36,1517.72,0.69,ToBinary
DodgerLoopDay,350.48,1065.5,0.66,ToBinary
UMD,516.58,1258.88,0.66,ToBinary
CricketY,671.81,1573.32,0.68,ToBinary
WormsTwoClass,552.44,1367.08,0.7,ToBinary
SmoothSubspace,330.82,824.58,0.66,ToBinary
OSULeaf,653.09,1678.08,0.69,ToBinary
Ham,678.8,1740.58,0.67,ToBinary
CricketX,575.24,894.82,0.68,ToBinary
SonyAIBORobotSurface1,642.15,1749.18,0.67,ToBinary
ToeSegmentation1,640.45,1668.79,0.67,ToBinary
ScreenType,612.22,1114.98,0.64,ToBinary
PigArtPressure,575.06,1164.67,0.66,ToBinary
SmallKitchenAppliances,346.47,1018.49,0.59,ToBinary
Crop,448.84,1479.36,0.66,ToBinary
MoteStrain,673.97,1607.04,0.67,ToBinary
MelbournePedestrian,510.37,961.22,0.66,ToBinary
ECGFiveDays,714.64,1783.37,0.64,ToBinary
Wine,453.47,901.11,0.66,ToBinary
SemgHandMovementCh2,697.9,1745.14,0.65,ToBinary
FreezerSmallTrain,587.75,1344.55,0.72,ToBinary
UWaveGestureLibraryZ,617.68,1579.67,0.68,ToBinary
NonInvasiveFetalECGThorax1,546.57,1491.52,0.68,ToBinary
TwoLeadECG,680.15,1723.18,0.67,ToBinary
Lightning7,534.17,1787.15,0.65,ToBinary
Phoneme,456.33,1031.39,0.68,ToBinary
SemgHandSubjectCh2,450.84,1471.33,0.65,ToBinary
DodgerLoopWeekend,475.07,819.81,0.67,ToBinary
MiddlePhalanxOutlineAgeGroup,506.47,1273.51,0.68,ToBinary
GestureMidAirD1,560.99,1760.45,0.66,ToBinary
DistalPhalanxOutlineCorrect,449.01,888.02,0.68,ToBinary
DistalPhalanxTW,499.2,1275.47,0.68,ToBinary
FacesUCR,586.72,1692.54,0.67,ToBinary
ECG5000,413.97,913.25,0.67,ToBinary
ShakeGestureWiimoteZ,651.53,535.97,0.66,ToBinary
GesturePebbleZ1,716.41,1794.94,0.64,ToBinary
HandOutlines,379.96,1235.31,0.69,ToBinary
GunPointMaleVersusFemale,533.29,1456.49,0.66,ToBinary
Coffee,496.27,1215.72,0.69,ToBinary
Rock,484.22,1735.88,0.66,ToBinary
MixedShapesSmallTrain,554.25,806.81,0.7,ToBinary
AllGestureWiimoteZ,675.61,1429.0,0.65,ToBinary
FordB,522.44,908.26,0.69,ToBinary
FiftyWords,448.56,911.64,0.67,ToBinary
InsectWingbeatSound,511.31,940.6,0.67,ToBinary
MedicalImages,449.96,934.2,0.66,ToBinary
Symbols,658.77,1571.53,0.69,ToBinary
ArrowHead,412.39,1060.46,0.69,ToBinary
ProximalPhalanxOutlineAgeGroup,331.35,846.34,0.68,ToBinary
EOGHorizontalSignal,679.94,1724.76,0.66,ToBinary
TwoPatterns,614.51,1730.53,0.66,ToBinary
ChlorineConcentration,440.71,1478.43,0.67,ToBinary
Plane,217.8,484.01,0.68,ToBinary
ACSF1,459.54,771.09,0.65,ToBinary
PhalangesOutlinesCorrect,678.46,1698.24,0.68,ToBinary
ShapeletSim,660.83,1536.5,0.7,ToBinary
DistalPhalanxOutlineAgeGroup,327.4,841.2,0.68,ToBinary
InsectEPGSmallTrain,600.31,1737.21,0.66,ToBinary
PickupGestureWiimoteZ,700.42,1013.28,0.66,ToBinary
EOGVerticalSignal,537.96,913.81,0.65,ToBinary
CricketZ,677.02,1704.07,0.68,ToBinary
FaceFour,689.31,1610.81,0.67,ToBinary
RefrigerationDevices,638.71,1694.89,0.65,ToBinary
PLAID,454.32,974.26,0.65,ToBinary
MixedShapesRegularTrain,365.45,1520.4,0.7,ToBinary
GunPoint,602.28,1532.85,0.69,ToBinary
DodgerLoopGame,438.83,939.9,0.67,ToBinary
ECG200,613.48,1577.19,0.68,ToBinary
ToeSegmentation2,621.93,1583.61,0.67,ToBinary
WordSynonyms,513.48,1551.58,0.65,ToBinary
Fungi,472.89,691.41,0.63,ToBinary
BirdChicken,348.85,859.09,0.69,ToBinary
SemgHandGenderCh2,478.17,1429.87,0.65,ToBinary
OliveOil,400.43,1027.85,0.68,ToBinary
BME,429.48,873.42,0.67,ToBinary
LargeKitchenAppliances,667.84,1237.05,0.62,ToBinary
SonyAIBORobotSurface2,259.66,1592.79,0.65,ToBinary
Lightning2,646.61,1665.03,0.65,ToBinary
EthanolLevel,588.21,1601.13,0.65,ToBinary
UWaveGestureLibraryX,510.21,1114.81,0.68,ToBinary
FreezerRegularTrain,529.72,1560.93,0.72,ToBinary
Fish,657.73,1594.36,0.7,ToBinary
ProximalPhalanxOutlineCorrect,285.13,580.94,0.68,ToBinary
NonInvasiveFetalECGThorax2,507.49,1583.64,0.68,ToBinary
UWaveGestureLibraryY,480.78,1662.27,0.68,ToBinary
FaceAll,646.24,1098.84,0.67,ToBinary
StarLightCurves,439.3,1290.35,0.69,ToBinary
ElectricDevices,657.65,943.73,0.64,ToBinary
Earthquakes,600.37,1285.75,0.65,ToBinary
PowerCons,705.98,1804.2,0.65,ToBinary
DiatomSizeReduction,566.42,606.4,0.7,ToBinary
CinCECGTorso,479.91,1671.07,0.68,ToBinary
PigCVP,436.8,878.44,0.66,ToBinary
ProximalPhalanxTW,508.11,1239.42,0.68,ToBinary
Average,535,1304,0.67,ToBinary
