File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
797,1.31,2.12,0.33,FCMGorilla
909,2.86,6.51,0.17,FCMGorilla
135,2.7,3.5,0.89,FCMGorilla
307,5.89,7.2,0.38,FCMGorilla
763,8.68,8.43,0.33,FCMGorilla
551,12.4,13.63,0.14,FCMGorilla
61,8.68,10.7,0.3,FCMGorilla
1056,11.91,11.13,0.35,FCMGorilla
95,8.55,13.69,0.24,FCMGorilla
338,9.39,15.1,0.29,FCMGorilla
936,24.34,23.56,0.19,FCMGorilla
556,18.2,19.1,0.16,FCMGorilla
764,9.08,8.26,0.31,FCMGorilla
300,13.16,14.33,0.36,FCMGorilla
132,6.46,5.86,0.79,FCMGorilla
59,15.64,4.57,0.25,FCMGorilla
790,9.22,10.51,0.3,FCMGorilla
931,2.15,11.99,0.2,FCMGorilla
569,10.61,22.41,0.12,FCMGorilla
92,22.64,27.18,0.14,FCMGorilla
1051,15.26,15.97,0.29,FCMGorilla
66,16.57,12.71,0.26,FCMGorilla
336,14.02,15.22,0.32,FCMGorilla
938,20.22,20.93,0.19,FCMGorilla
104,17.27,23.32,0.23,FCMGorilla
560,22.69,34.43,0.16,FCMGorilla
752,17.74,20.54,0.31,FCMGorilla
594,21.76,23.17,0.16,FCMGorilla
1058,16.77,14.27,0.36,FCMGorilla
907,22.41,4.83,0.17,FCMGorilla
309,22.2,21.25,0.35,FCMGorilla
799,11.34,22.46,0.3,FCMGorilla
50,33.94,34.76,0.27,FCMGorilla
68,17.52,16.69,0.3,FCMGorilla
593,29.13,21.24,0.18,FCMGorilla
755,25.83,24.59,0.32,FCMGorilla
567,22.61,15.34,0.16,FCMGorilla
103,26.8,15.05,0.25,FCMGorilla
331,14.81,12.52,0.29,FCMGorilla
57,23.64,17.62,0.25,FCMGorilla
900,23.96,21.72,0.18,FCMGorilla
558,26.81,26.82,0.17,FCMGorilla
1034,14.84,12.75,0.31,FCMGorilla
168,5.65,5.36,0.91,FCMGorilla
954,11.0,13.45,0.28,FCMGorilla
391,20.75,14.0,0.29,FCMGorilla
533,17.73,27.91,0.17,FCMGorilla
701,5.52,8.36,0.78,FCMGorilla
365,12.33,12.44,0.28,FCMGorilla
157,9.56,9.54,0.87,FCMGorilla
739,3.74,5.19,0.78,FCMGorilla
953,16.97,33.74,0.17,FCMGorilla
1033,31.55,31.86,0.27,FCMGorilla
150,8.86,7.15,0.8,FCMGorilla
362,22.05,27.44,0.3,FCMGorilla
706,9.38,8.76,0.85,FCMGorilla
534,19.58,16.7,0.17,FCMGorilla
998,22.52,14.87,0.26,FCMGorilla
396,16.95,23.15,0.35,FCMGorilla
159,8.16,8.73,0.79,FCMGorilla
965,26.61,15.17,0.37,FCMGorilla
32,35.32,36.53,0.21,FCMGorilla
1005,24.01,19.24,0.33,FCMGorilla
991,10.41,14.14,0.37,FCMGorilla
730,6.45,10.89,0.87,FCMGorilla
502,13.78,11.52,0.43,FCMGorilla
166,7.74,3.11,0.81,FCMGorilla
354,14.22,16.3,0.34,FCMGorilla
192,8.61,6.87,0.81,FCMGorilla
996,34.92,40.13,0.23,FCMGorilla
398,24.41,33.9,0.14,FCMGorilla
1002,15.24,23.21,0.29,FCMGorilla
35,29.92,26.98,0.26,FCMGorilla
708,7.54,11.32,0.81,FCMGorilla
962,18.97,17.22,0.37,FCMGorilla
195,8.79,12.4,0.78,FCMGorilla
353,25.37,23.95,0.29,FCMGorilla
161,8.35,6.66,0.9,FCMGorilla
505,14.16,19.11,0.43,FCMGorilla
737,9.26,13.41,0.82,FCMGorilla
566,40.16,41.83,0.17,FCMGorilla
754,17.26,21.84,0.31,FCMGorilla
330,18.13,14.05,0.34,FCMGorilla
102,24.82,30.43,0.19,FCMGorilla
592,34.1,27.21,0.15,FCMGorilla
