File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
797,2.57,3.35,0.21,GorillaRef
909,24.26,16.15,0.05,GorillaRef
135,31.19,5.47,0.87,GorillaRef
307,26.38,26.44,0.23,GorillaRef
763,31.44,7.84,0.25,GorillaRef
551,71.04,26.1,0.06,GorillaRef
61,50.62,32.26,0.13,GorillaRef
1056,55.36,64.79,0.15,GorillaRef
95,51.78,63.6,0.13,GorillaRef
338,9.54,59.81,0.16,GorillaRef
936,107.85,52.33,0.07,GorillaRef
556,234.18,56.77,0.06,GorillaRef
764,119.68,53.77,0.19,GorillaRef
300,87.66,61.33,0.24,GorillaRef
132,58.71,57.81,0.77,GorillaRef
59,77.49,60.54,0.14,GorillaRef
790,147.9,82.7,0.21,GorillaRef
931,76.67,39.06,0.06,GorillaRef
569,274.34,81.74,0.05,GorillaRef
92,184.39,122.26,0.06,GorillaRef
1051,136.72,150.81,0.17,GorillaRef
66,171.11,172.29,0.11,GorillaRef
336,88.92,92.34,0.12,GorillaRef
938,198.82,171.98,0.07,GorillaRef
104,169.74,168.14,0.11,GorillaRef
560,198.46,106.02,0.06,GorillaRef
752,111.79,117.35,0.2,GorillaRef
594,79.31,88.84,0.06,GorillaRef
1058,146.84,94.68,0.15,GorillaRef
907,104.63,103.54,0.05,GorillaRef
309,133.13,115.35,0.2,GorillaRef
799,147.74,119.05,0.22,GorillaRef
50,167.0,99.88,0.13,GorillaRef
68,170.27,91.88,0.13,GorillaRef
593,211.0,93.19,0.08,GorillaRef
755,114.29,98.02,0.2,GorillaRef
567,247.41,185.25,0.07,GorillaRef
103,209.82,165.51,0.07,GorillaRef
331,128.18,131.61,0.12,GorillaRef
57,199.76,162.11,0.1,GorillaRef
900,240.2,172.7,0.05,GorillaRef
558,231.64,176.28,0.08,GorillaRef
1034,169.43,79.87,0.16,GorillaRef
168,54.89,50.18,0.9,GorillaRef
954,142.49,149.26,0.14,GorillaRef
391,162.55,12.42,0.14,GorillaRef
533,46.79,106.38,0.07,GorillaRef
701,17.36,86.69,0.7,GorillaRef
365,60.36,48.85,0.14,GorillaRef
157,36.51,77.47,0.85,GorillaRef
739,62.38,15.58,0.7,GorillaRef
953,241.37,163.02,0.05,GorillaRef
1033,163.8,163.76,0.14,GorillaRef
150,36.9,21.56,0.78,GorillaRef
362,143.47,81.29,0.15,GorillaRef
706,56.45,32.86,0.75,GorillaRef
534,202.15,160.32,0.07,GorillaRef
998,156.32,144.78,0.15,GorillaRef
396,135.61,128.98,0.2,GorillaRef
159,34.17,9.75,0.77,GorillaRef
965,160.08,157.16,0.16,GorillaRef
32,163.57,105.92,0.12,GorillaRef
1005,156.98,158.2,0.16,GorillaRef
991,137.93,140.26,0.19,GorillaRef
730,36.0,78.47,0.81,GorillaRef
502,47.3,133.33,0.29,GorillaRef
166,26.2,69.44,0.72,GorillaRef
354,132.24,60.34,0.14,GorillaRef
192,60.76,83.81,0.79,GorillaRef
996,77.09,113.46,0.12,GorillaRef
398,233.93,98.32,0.05,GorillaRef
1002,165.28,87.35,0.16,GorillaRef
35,118.77,167.51,0.13,GorillaRef
708,30.33,80.24,0.73,GorillaRef
962,150.23,44.16,0.15,GorillaRef
195,30.85,53.35,0.76,GorillaRef
353,102.42,41.92,0.12,GorillaRef
161,21.79,29.66,0.88,GorillaRef
505,90.29,81.83,0.27,GorillaRef
737,50.3,35.49,0.73,GorillaRef
