File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
797,4.93,8.98,0.59,SprintzRef
909,17.87,15.3,0.6,SprintzRef
135,19.14,15.97,0.81,SprintzRef
307,33.68,14.61,0.54,SprintzRef
763,38.06,18.33,0.58,SprintzRef
551,14.3,17.65,0.53,SprintzRef
61,16.67,32.22,0.72,SprintzRef
1056,14.02,35.39,0.65,SprintzRef
95,18.49,67.83,0.57,SprintzRef
338,16.72,33.85,0.69,SprintzRef
936,36.95,38.06,0.68,SprintzRef
556,42.76,47.72,0.55,SprintzRef
764,29.44,49.07,0.54,SprintzRef
300,68.55,49.46,0.54,SprintzRef
132,51.94,36.74,0.71,SprintzRef
59,93.36,74.44,0.63,SprintzRef
790,72.38,44.93,0.53,SprintzRef
931,47.31,33.82,0.71,SprintzRef
569,72.96,54.81,0.41,SprintzRef
92,78.74,58.98,0.47,SprintzRef
1051,52.23,44.9,0.66,SprintzRef
66,47.25,42.52,0.62,SprintzRef
336,62.4,46.15,0.6,SprintzRef
938,75.33,82.78,0.68,SprintzRef
104,44.91,51.03,0.58,SprintzRef
560,49.92,44.84,0.55,SprintzRef
752,60.0,59.31,0.54,SprintzRef
594,95.05,93.54,0.53,SprintzRef
1058,92.18,82.33,0.65,SprintzRef
907,62.71,44.36,0.62,SprintzRef
309,84.09,59.68,0.52,SprintzRef
799,108.82,118.87,0.52,SprintzRef
50,94.89,78.81,0.59,SprintzRef
68,58.94,93.92,0.65,SprintzRef
593,54.11,73.49,0.64,SprintzRef
755,124.08,175.62,0.55,SprintzRef
567,112.85,116.99,0.6,SprintzRef
103,111.83,152.82,0.61,SprintzRef
331,99.79,136.89,0.73,SprintzRef
57,114.15,158.83,0.64,SprintzRef
900,94.3,155.84,0.64,SprintzRef
558,71.57,157.89,0.64,SprintzRef
1034,118.33,173.75,0.57,SprintzRef
168,86.95,109.47,0.85,SprintzRef
954,90.34,155.77,0.62,SprintzRef
391,100.19,127.48,0.65,SprintzRef
533,108.1,87.14,0.58,SprintzRef
701,49.12,75.06,0.7,SprintzRef
365,97.72,138.92,0.7,SprintzRef
157,40.85,80.27,0.79,SprintzRef
739,79.99,136.7,0.7,SprintzRef
953,106.72,148.05,0.59,SprintzRef
1033,62.65,167.09,0.62,SprintzRef
150,92.67,150.22,0.73,SprintzRef
362,63.38,132.39,0.73,SprintzRef
706,97.8,106.54,0.75,SprintzRef
534,116.27,158.88,0.62,SprintzRef
998,49.65,65.9,0.59,SprintzRef
396,48.64,77.15,0.75,SprintzRef
159,92.25,152.97,0.71,SprintzRef
965,96.02,159.53,0.66,SprintzRef
32,77.62,142.19,0.5,SprintzRef
1005,105.29,149.8,0.64,SprintzRef
991,102.32,139.1,0.64,SprintzRef
730,71.59,128.61,0.79,SprintzRef
502,94.79,117.98,0.74,SprintzRef
166,103.93,140.01,0.72,SprintzRef
354,89.47,141.21,0.64,SprintzRef
192,49.08,58.59,0.73,SprintzRef
996,128.61,176.68,0.54,SprintzRef
398,90.4,132.65,0.46,SprintzRef
1002,119.63,160.02,0.67,SprintzRef
35,88.72,122.47,0.63,SprintzRef
708,109.44,143.6,0.73,SprintzRef
962,109.41,145.34,0.65,SprintzRef
195,100.24,130.31,0.71,SprintzRef
353,87.58,144.28,0.72,SprintzRef
161,95.7,126.66,0.83,SprintzRef
505,98.64,130.25,0.74,SprintzRef
737,57.71,66.53,0.73,SprintzRef
566,52.9,83.3,0.6,SprintzRef
754,77.84,86.53,0.54,SprintzRef
330,96.73,61.46,0.78,SprintzRef
102,92.27,212.53,0.42,SprintzRef
592,133.68,185.87,0.52,SprintzRef
69,118.78,156.76,0.64,SprintzRef
901,118.18,167.48,0.58,SprintzRef
559,82.41,130.53,0.58,SprintzRef
56,86.97,119.42,0.63,SprintzRef
1059,87.14,118.59,0.62,SprintzRef
595,56.47,69.03,0.68,SprintzRef
105,60.62,91.86,0.58,SprintzRef
939,112.75,153.74,0.58,SprintzRef
337,69.96,82.07,0.65,SprintzRef
753,118.83,156.54,0.52,SprintzRef
561,94.01,131.4,0.57,SprintzRef
51,92.31,153.14,0.59,SprintzRef
798,148.18,194.21,0.54,SprintzRef
308,157.09,204.42,0.53,SprintzRef
906,108.88,76.66,0.59,SprintzRef
791,131.09,103.53,0.53,SprintzRef
58,77.76,81.34,0.52,SprintzRef
765,79.0,183.54,0.58,SprintzRef
557,66.06,86.06,0.51,SprintzRef
133,55.3,59.56,0.76,SprintzRef
301,132.54,177.38,0.58,SprintzRef
67,112.01,158.94,0.69,SprintzRef
1050,70.4,138.65,0.54,SprintzRef
930,117.91,268.83,0.28,SprintzRef
93,110.81,159.34,0.65,SprintzRef
568,124.42,187.92,0.51,SprintzRef
306,91.52,101.85,0.52,SprintzRef
134,54.3,72.07,0.76,SprintzRef
908,62.12,68.02,0.6,SprintzRef
550,104.89,147.46,0.64,SprintzRef
762,73.7,124.9,0.57,SprintzRef
796,103.35,162.64,0.54,SprintzRef
94,112.19,117.66,0.62,SprintzRef
937,108.27,168.72,0.57,SprintzRef
339,102.2,146.12,0.72,SprintzRef
1057,92.1,155.29,0.66,SprintzRef
60,116.41,161.62,0.57,SprintzRef
709,101.24,129.65,0.74,SprintzRef
963,52.59,120.5,0.64,SprintzRef
399,69.05,74.49,0.39,SprintzRef
