File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
797,21.54,21.37,0.63,ToBinary
909,77.17,58.94,0.82,ToBinary
135,113.74,89.42,0.86,ToBinary
307,85.07,79.74,0.58,ToBinary
763,162.77,122.06,0.62,ToBinary
551,147.01,110.57,0.75,ToBinary
61,130.84,99.35,0.85,ToBinary
1056,102.22,98.39,0.78,ToBinary
95,120.12,86.5,0.75,ToBinary
338,115.74,69.04,0.89,ToBinary
936,106.56,239.85,0.9,ToBinary
556,149.8,313.89,0.75,ToBinary
764,114.0,410.88,0.58,ToBinary
300,89.22,663.26,0.58,ToBinary
132,160.86,534.15,0.77,ToBinary
59,180.03,600.18,0.76,ToBinary
790,233.64,786.36,0.57,ToBinary
931,129.87,267.08,0.89,ToBinary
569,160.3,532.63,0.77,ToBinary
92,159.5,205.53,0.78,ToBinary
1051,182.33,514.94,0.78,ToBinary
66,165.53,299.41,0.78,ToBinary
336,75.35,292.49,0.83,ToBinary
938,405.37,297.56,0.87,ToBinary
104,471.75,323.14,0.77,ToBinary
560,551.81,781.7,0.79,ToBinary
752,728.25,949.65,0.59,ToBinary
594,542.34,1230.44,0.78,ToBinary
1058,514.68,1213.26,0.78,ToBinary
907,473.14,1121.03,0.83,ToBinary
309,690.73,1673.23,0.56,ToBinary
799,475.73,883.5,0.56,ToBinary
50,522.7,1232.91,0.76,ToBinary
68,495.32,600.53,0.84,ToBinary
593,487.39,1103.19,0.83,ToBinary
755,677.4,1696.68,0.6,ToBinary
567,492.78,1230.14,0.79,ToBinary
103,355.79,699.68,0.78,ToBinary
331,486.22,510.75,0.87,ToBinary
57,423.29,983.47,0.79,ToBinary
900,524.51,1204.05,0.83,ToBinary
558,538.11,1210.1,0.79,ToBinary
1034,577.87,1387.86,0.79,ToBinary
168,379.13,924.61,0.89,ToBinary
954,336.16,780.58,0.77,ToBinary
391,401.83,953.32,0.84,ToBinary
533,334.26,896.74,0.81,ToBinary
701,405.89,1028.58,0.76,ToBinary
365,531.45,1251.42,0.84,ToBinary
157,473.51,1128.83,0.84,ToBinary
739,168.51,403.7,0.76,ToBinary
953,347.03,624.81,0.84,ToBinary
1033,402.51,731.24,0.78,ToBinary
150,360.21,340.24,0.78,ToBinary
362,319.13,622.0,0.91,ToBinary
706,493.27,1184.87,0.82,ToBinary
534,494.59,1163.61,0.79,ToBinary
998,528.45,1267.52,0.79,ToBinary
396,496.84,1192.51,0.9,ToBinary
159,583.76,1360.42,0.77,ToBinary
965,426.73,1034.56,0.79,ToBinary
32,600.16,1395.42,0.74,ToBinary
1005,290.49,582.35,0.79,ToBinary
991,351.7,683.77,0.79,ToBinary
730,487.89,1193.37,0.85,ToBinary
502,513.21,1254.25,0.81,ToBinary
166,430.25,1087.86,0.79,ToBinary
354,467.59,1112.19,0.85,ToBinary
192,566.69,1327.57,0.79,ToBinary
996,406.98,1001.82,0.76,ToBinary
398,371.65,854.61,0.85,ToBinary
1002,566.21,1391.19,0.78,ToBinary
