Average nBits,Block Size
62.00091575,1
62.0018315,1
62.0018315,1
62.00091575,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00091575,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00091575,1
62.00091575,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00091575,1
62.00274725,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00091575,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62,1
62.0018315,1
62.00274725,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00274725,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.00091575,1
62.0018315,1
62.00274725,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.0018315,1
62.00274725,1
62.0018315,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00091575,1
62.0018315,1
62.00274725,1
62.00091575,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00274725,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.0018315,1
62.00091575,1
62.00091575,1
62.0018315,1
62.00274725,1
62,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00274725,1
62.0018315,1
62,1
62.0018315,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00091575,1
62.0018315,1
62,1
62.00274725,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00091575,1
62.0018315,1
62.00091575,1
62.00274725,1
62.00091575,1
62.0018315,1
62.0018315,1
62.00091575,1
62.00274725,1
62.00274725,1
62.0018315,1
62.0018315,1
61.94413919,1
62.0018315,1
61.9459707,1
62.0018315,1
62.00274725,1
62.00091575,1
62.00091575,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00274725,1
62,1
62.00091575,1
62.00274725,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00091575,1
61.9459707,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00091575,1
62.00091575,1
62.0018315,1
62.00274725,1
62.00091575,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00091575,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.0018315,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00274725,1
62.00274725,1
62.00274725,1
62.0018315,1
62.0018315,1
62.00274725,1
62.00274725,1
62.0018315,1
62.00091575,1
