File Name,File Size (mb),Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,3.7,26.45,28.2,0.69,FCM
SyntheticControl,0.2,15.6,22.89,0.68,FCM
Worms,0.76,19,52.87,0.7,FCM
Computers,2.16,31.25,59.71,0.64,FCM
HouseTwenty,2.85,20.22,55.02,0.64,FCM
GestureMidAirD3,0.54,28.48,71.41,0.66,FCM
Chinatown,0.1,15.87,63.17,0.66,FCM
UWaveGestureLibraryAll,37.47,36.31,63.14,0.69,FCM
Strawberry,1,21.69,39.02,0.66,FCM
Car,0.38,31.41,66.03,0.7,FCM
GunPointAgeSpan,0.55,34.51,60.27,0.65,FCM
GestureMidAirD2,0.54,33.8,59.51,0.66,FCM
BeetleFly,0.11,28.17,78.13,0.69,FCM
Wafer,10.55,36.51,66.81,0.68,FCM
CBF,1.29,34.95,67.61,0.68,FCM
Adiac,0.76,30.42,65.63,0.69,FCM
ItalyPowerDemand,0.28,19.97,47.1,0.67,FCM
Yoga,14.06,36.05,64.57,0.69,FCM
AllGestureWiimoteY,4.1,29.51,65.13,0.65,FCM
Trace,0.29,29.49,52.45,0.71,FCM
PigAirwayPressure,4.92,39.67,66.12,0.65,FCM
ShapesAll,3.38,19.12,65.1,0.69,FCM
Beef,0.16,31.5,53.79,0.68,FCM
GesturePebbleZ2,0.85,34.01,60.94,0.65,FCM
Mallat,26.2,35.74,57.07,0.7,FCM
GunPointOldVersusYoung,0.55,34.43,60.08,0.65,FCM
MiddlePhalanxTW,0.14,34.44,47,0.68,FCM
AllGestureWiimoteX,4.08,38.16,66.76,0.65,FCM
Meat,0.31,34.05,68.36,0.67,FCM
Herring,0.36,35.99,83.33,0.69,FCM
MiddlePhalanxOutlineCorrect,0.26,32.55,59.2,0.68,FCM
InsectEPGRegularTrain,1.72,35.16,63.43,0.66,FCM
FordA,7.34,35.28,64.56,0.69,FCM
SwedishLeaf,0.91,32.39,55.49,0.67,FCM
InlineSkate,11.39,36.51,66.93,0.69,FCM
DodgerLoopDay,0.26,33.08,58.59,0.66,FCM
UMD,0.25,27.73,32.96,0.66,FCM
CricketY,1.31,36.41,44.63,0.68,FCM
WormsTwoClass,0.76,34.54,66.09,0.7,FCM
,,,,,
OSULeaf,1.15,31.89,52.56,0.69,FCM
Ham,0.51,36.75,69.05,0.67,FCM
CricketX,1.32,34.82,63.76,0.67,FCM
SonyAIBORobotSurface1,0.48,28.41,53.49,0.66,FCM
ToeSegmentation1,0.71,32.47,60.23,0.67,FCM
ScreenType,3.21,36.45,66.45,0.64,FCM
PigArtPressure,4.8,38.1,69,0.66,FCM
SmallKitchenAppliances,3.47,37.28,62.42,0.59,FCM
Crop,8.98,29.26,65.51,0.66,FCM
MoteStrain,1.19,31.4,61.72,0.67,FCM
MelbournePedestrian,0.68,32.44,64.09,0.66,FCM
ECGFiveDays,1.39,34.8,59.56,0.64,FCM
Wine,0.15,24.2,24.1,0.66,FCM
SemgHandMovementCh2,7.95,37.16,65.19,0.65,FCM
FreezerSmallTrain,9.1,33.94,67.47,0.72,FCM
UWaveGestureLibraryZ,12.7,37.23,62.84,0.68,FCM
NonInvasiveFetalECGThorax1,16.56,35.6,63.52,0.68,FCM
TwoLeadECG,1.07,34.48,59.38,0.67,FCM
Lightning7,0.27,34.17,59.22,0.65,FCM
Phoneme,21.67,36.55,60.46,0.68,FCM
SemgHandSubjectCh2,7.95,36.15,64.37,0.65,FCM
DodgerLoopWeekend,0.46,35.09,75.81,0.66,FCM
MiddlePhalanxOutlineAgeGroup,0.14,27.61,93.99,0.68,FCM
GestureMidAirD1,0.54,35.93,71.41,0.66,FCM
DistalPhalanxOutlineCorrect,0.25,30.92,84.23,0.68,FCM
DistalPhalanxTW,0.12,41.59,42.42,0.68,FCM
FacesUCR,3.08,35.35,64.03,0.67,FCM
ECG5000,7.15,35.73,65.84,0.67,FCM
ShakeGestureWiimoteZ,0.22,37.35,73.43,0.66,FCM
GesturePebbleZ1,0.93,34.31,66.34,0.64,FCM
HandOutlines,11.09,38.12,65.92,0.69,FCM
GunPointMaleVersusFemale,0.55,36.81,72.33,0.65,FCM
Coffee,0.09,29.49,61.1,0.69,FCM
Rock,1.64,34.81,67.81,0.66,FCM
MixedShapesSmallTrain,27.09,35.04,61.91,0.7,FCM
AllGestureWiimoteZ,4.09,36.8,65.13,0.65,FCM
FordB,4.5,36.88,64.37,0.69,FCM
FiftyWords,1.4,36.73,62.48,0.67,FCM
InsectWingbeatSound,5.79,37.34,62.37,0.67,FCM
MedicalImages,0.87,37.72,63.78,0.66,FCM
Symbols,4.37,34.65,65.68,0.69,FCM
ArrowHead,0.48,37.21,55.85,0.69,FCM
ProximalPhalanxOutlineAgeGroup,0.18,36.91,62.56,0.68,FCM
EOGHorizontalSignal,5.27,39.91,62.77,0.66,FCM
